epoch,train_loss,validation_micro_fmax,validation_micro_fmax_threshold,validation_rare_term_micro_fmax_train_count_1_to_10,rare_term_count,brier_score,expected_calibration_error_10_bins,threshold_sensitivity
1,1.1440007681871915,0.016413065162450467,0.6974700689315796,0.007720067607669545,979,0.26377570629119873,0.4924814657923358,"[{'threshold': 0.1, 'micro_f1': 0.009946146605454672}, {'threshold': 0.2, 'micro_f1': 0.01001260527406609}, {'threshold': 0.3, 'micro_f1': 0.010205256041206808}, {'threshold': 0.4, 'micro_f1': 0.010842427910427364}, {'threshold': 0.5, 'micro_f1': 0.01193564181411064}, {'threshold': 0.6, 'micro_f1': 0.012861527468779941}, {'threshold': 0.7, 'micro_f1': 0.016271033229442285}, {'threshold': 0.8, 'micro_f1': 0.013323816321674994}, {'threshold': 0.9, 'micro_f1': 0.0}]"
2,0.987111746316247,0.039149963128915034,0.7901440262794495,0.03663003662975378,979,0.26249346137046814,0.4897354242764028,"[{'threshold': 0.1, 'micro_f1': 0.009947691251978884}, {'threshold': 0.2, 'micro_f1': 0.010009534629702015}, {'threshold': 0.3, 'micro_f1': 0.010221791498655148}, {'threshold': 0.4, 'micro_f1': 0.01103670853077916}, {'threshold': 0.5, 'micro_f1': 0.012505409448916255}, {'threshold': 0.6, 'micro_f1': 0.016429501993987523}, {'threshold': 0.7, 'micro_f1': 0.02244682101304501}, {'threshold': 0.8, 'micro_f1': 0.03613412228796844}, {'threshold': 0.9, 'micro_f1': 0.0006938020351526363}]"
3,0.9068696348673468,0.05886260961948885,0.849979817867279,0.17142857142812754,979,0.2632589638233185,0.48900448697304827,"[{'threshold': 0.1, 'micro_f1': 0.00995047042856988}, {'threshold': 0.2, 'micro_f1': 0.010003903574978268}, {'threshold': 0.3, 'micro_f1': 0.010290986983028506}, {'threshold': 0.4, 'micro_f1': 0.011279081293559987}, {'threshold': 0.5, 'micro_f1': 0.013322121358811464}, {'threshold': 0.6, 'micro_f1': 0.01769150659273456}, {'threshold': 0.7, 'micro_f1': 0.027365059653168936}, {'threshold': 0.8, 'micro_f1': 0.04697711128650355}, {'threshold': 0.9, 'micro_f1': 0.024466818231027386}]"
4,0.8564039342283254,0.06942889137688667,0.8405627608299255,0.25242718446552403,979,0.26561474800109863,0.49130985929012755,"[{'threshold': 0.1, 'micro_f1': 0.009950254747233666}, {'threshold': 0.2, 'micro_f1': 0.010031921415190881}, {'threshold': 0.3, 'micro_f1': 0.010465999309630653}, {'threshold': 0.4, 'micro_f1': 0.01140010978720656}, {'threshold': 0.5, 'micro_f1': 0.013569274914250579}, {'threshold': 0.6, 'micro_f1': 0.018896668692917878}, {'threshold': 0.7, 'micro_f1': 0.02916050140986627}, {'threshold': 0.8, 'micro_f1': 0.052827359497101996}, {'threshold': 0.9, 'micro_f1': 0.05530047954290378}]"
5,0.8202339240031153,0.09010882373278846,0.8769481778144836,0.35668789808871837,979,0.2634829580783844,0.48707804163042573,"[{'threshold': 0.1, 'micro_f1': 0.00995116590939487}, {'threshold': 0.2, 'micro_f1': 0.010081123363799144}, {'threshold': 0.3, 'micro_f1': 0.010523975890868821}, {'threshold': 0.4, 'micro_f1': 0.011686185241760766}, {'threshold': 0.5, 'micro_f1': 0.014507948274023791}, {'threshold': 0.6, 'micro_f1': 0.019745974200116707}, {'threshold': 0.7, 'micro_f1': 0.03102981811654133}, {'threshold': 0.8, 'micro_f1': 0.05677910974816467}, {'threshold': 0.9, 'micro_f1': 0.08439943141435677}]"
6,0.7919867848211638,0.10465116279026708,0.8977524638175964,0.39598278335685544,979,0.26503807306289673,0.4890190813334184,"[{'threshold': 0.1, 'micro_f1': 0.009952244646195957}, {'threshold': 0.2, 'micro_f1': 0.010096225817772204}, {'threshold': 0.3, 'micro_f1': 0.010545889192959292}, {'threshold': 0.4, 'micro_f1': 0.011920325252937344}, {'threshold': 0.5, 'micro_f1': 0.014471601122709642}, {'threshold': 0.6, 'micro_f1': 0.020568133487631424}, {'threshold': 0.7, 'micro_f1': 0.03482223900776296}, {'threshold': 0.8, 'micro_f1': 0.06113210864023908}, {'threshold': 0.9, 'micro_f1': 0.10234614076844609}]"
7,0.7696420879199587,0.1057834041442222,0.9104112982749939,0.40469208211106267,979,0.26010558009147644,0.48251429572741555,"[{'threshold': 0.1, 'micro_f1': 0.009951388143914237}, {'threshold': 0.2, 'micro_f1': 0.0101270443384988}, {'threshold': 0.3, 'micro_f1': 0.01068087172053705}, {'threshold': 0.4, 'micro_f1': 0.012028384188194984}, {'threshold': 0.5, 'micro_f1': 0.014882707092724753}, {'threshold': 0.6, 'micro_f1': 0.021065986627589794}, {'threshold': 0.7, 'micro_f1': 0.034293775436318695}, {'threshold': 0.8, 'micro_f1': 0.05976620271885573}, {'threshold': 0.9, 'micro_f1': 0.10168177943114003}]"
8,0.7469989630524613,0.10601719197662708,0.9185717701911926,0.4131736526942527,979,0.2621521055698395,0.48255816726069134,"[{'threshold': 0.1, 'micro_f1': 0.009958780441331472}, {'threshold': 0.2, 'micro_f1': 0.010148781483429252}, {'threshold': 0.3, 'micro_f1': 0.010857410220207983}, {'threshold': 0.4, 'micro_f1': 0.012334687076955118}, {'threshold': 0.5, 'micro_f1': 0.015717170065371718}, {'threshold': 0.6, 'micro_f1': 0.022229472433506363}, {'threshold': 0.7, 'micro_f1': 0.034768257765815457}, {'threshold': 0.8, 'micro_f1': 0.06272897568091773}, {'threshold': 0.9, 'micro_f1': 0.10302681256799129}]"
9,0.7249100880218121,0.13519553072580784,0.9180009961128235,0.411160058736778,979,0.253032386302948,0.4728383707961726,"[{'threshold': 0.1, 'micro_f1': 0.009956443575729057}, {'threshold': 0.2, 'micro_f1': 0.010168295513906602}, {'threshold': 0.3, 'micro_f1': 0.0108891199519885}, {'threshold': 0.4, 'micro_f1': 0.012455798319327731}, {'threshold': 0.5, 'micro_f1': 0.016001641478384197}, {'threshold': 0.6, 'micro_f1': 0.023196529932988385}, {'threshold': 0.7, 'micro_f1': 0.037926474799978065}, {'threshold': 0.8, 'micro_f1': 0.06611087801229545}, {'threshold': 0.9, 'micro_f1': 0.12147785157005608}]"
10,0.7017345550205727,0.14801619433154098,0.9262348413467407,0.420574886535203,979,0.24246393144130707,0.459215926745521,"[{'threshold': 0.1, 'micro_f1': 0.0099868126119384}, {'threshold': 0.2, 'micro_f1': 0.01030035389590579}, {'threshold': 0.3, 'micro_f1': 0.011170940183335098}, {'threshold': 0.4, 'micro_f1': 0.012948746445078964}, {'threshold': 0.5, 'micro_f1': 0.0170939665483405}, {'threshold': 0.6, 'micro_f1': 0.024923187643590666}, {'threshold': 0.7, 'micro_f1': 0.04258558027134512}, {'threshold': 0.8, 'micro_f1': 0.07722413480703026}, {'threshold': 0.9, 'micro_f1': 0.13272536816809413}]"
11,0.6749624671607182,0.14959069366611297,0.9271283149719238,0.4191616766463486,979,0.23367798328399658,0.45006867891418667,"[{'threshold': 0.1, 'micro_f1': 0.010013929835666818}, {'threshold': 0.2, 'micro_f1': 0.010331307951019195}, {'threshold': 0.3, 'micro_f1': 0.01113906964119343}, {'threshold': 0.4, 'micro_f1': 0.012686057971746987}, {'threshold': 0.5, 'micro_f1': 0.017203791690755612}, {'threshold': 0.6, 'micro_f1': 0.026612059158134242}, {'threshold': 0.7, 'micro_f1': 0.04445443601607031}, {'threshold': 0.8, 'micro_f1': 0.07911042496818475}, {'threshold': 0.9, 'micro_f1': 0.139685538835279}]"
12,0.6452544303092147,0.15599173553671417,0.9107078313827515,0.426179604261452,979,0.22337044775485992,0.4368458404941759,"[{'threshold': 0.1, 'micro_f1': 0.01002397276634944}, {'threshold': 0.2, 'micro_f1': 0.0103321957481449}, {'threshold': 0.3, 'micro_f1': 0.01101936324636061}, {'threshold': 0.4, 'micro_f1': 0.013156708466519137}, {'threshold': 0.5, 'micro_f1': 0.017798231173730198}, {'threshold': 0.6, 'micro_f1': 0.027525739655665352}, {'threshold': 0.7, 'micro_f1': 0.046617012936103486}, {'threshold': 0.8, 'micro_f1': 0.08003474107045923}, {'threshold': 0.9, 'micro_f1': 0.14807885065152018}]"
13,0.6127029899260726,0.16694286960273746,0.9357316493988037,0.42553191489327175,979,0.20730483531951904,0.4155734995485083,"[{'threshold': 0.1, 'micro_f1': 0.01012399058626849}, {'threshold': 0.2, 'micro_f1': 0.01045951496430542}, {'threshold': 0.3, 'micro_f1': 0.01147382277240253}, {'threshold': 0.4, 'micro_f1': 0.014114332353171364}, {'threshold': 0.5, 'micro_f1': 0.019470741707044353}, {'threshold': 0.6, 'micro_f1': 0.030054990438063204}, {'threshold': 0.7, 'micro_f1': 0.05077554305510599}, {'threshold': 0.8, 'micro_f1': 0.09259477973308138}, {'threshold': 0.9, 'micro_f1': 0.15389798531096285}]"
14,0.5753412009550343,0.17575558475646266,0.9379457831382751,0.42944785276039893,979,0.19398744404315948,0.39527432503217114,"[{'threshold': 0.1, 'micro_f1': 0.010194085321304914}, {'threshold': 0.2, 'micro_f1': 0.010760280023511275}, {'threshold': 0.3, 'micro_f1': 0.012022652225426457}, {'threshold': 0.4, 'micro_f1': 0.015439815185979592}, {'threshold': 0.5, 'micro_f1': 0.02226692103516921}, {'threshold': 0.6, 'micro_f1': 0.03464498540374918}, {'threshold': 0.7, 'micro_f1': 0.05817564160407654}, {'threshold': 0.8, 'micro_f1': 0.09659466490393842}, {'threshold': 0.9, 'micro_f1': 0.15864222994873003}]"
15,0.5329076898350956,0.20998072961609066,0.9015522003173828,0.42944785276039893,979,0.1784636378288269,0.37870744410938106,"[{'threshold': 0.1, 'micro_f1': 0.010224233867090055}, {'threshold': 0.2, 'micro_f1': 0.010793649888112865}, {'threshold': 0.3, 'micro_f1': 0.012558051795226503}, {'threshold': 0.4, 'micro_f1': 0.016543124833315687}, {'threshold': 0.5, 'micro_f1': 0.025383897433204353}, {'threshold': 0.6, 'micro_f1': 0.04237948456588961}, {'threshold': 0.7, 'micro_f1': 0.07622203811101906}, {'threshold': 0.8, 'micro_f1': 0.13948690104520156}, {'threshold': 0.9, 'micro_f1': 0.20886906323799526}]"
