epoch,train_loss,validation_micro_fmax,validation_micro_fmax_threshold,validation_rare_term_micro_fmax_train_count_1_to_10,rare_term_count,brier_score,expected_calibration_error_10_bins,threshold_sensitivity
1,0.28651940877790805,0.044583987440671734,0.7358343005180359,0.0043438701534622825,495,0.25471484661102295,0.4884980660683674,"[{'threshold': 0.1, 'micro_f1': 0.011372097745887768}, {'threshold': 0.2, 'micro_f1': 0.01138696211669439}, {'threshold': 0.3, 'micro_f1': 0.011591020325719065}, {'threshold': 0.4, 'micro_f1': 0.012434477442700938}, {'threshold': 0.5, 'micro_f1': 0.015248766759257806}, {'threshold': 0.6, 'micro_f1': 0.02333358784454455}, {'threshold': 0.7, 'micro_f1': 0.03851985411629718}, {'threshold': 0.8, 'micro_f1': 0.0280639431616341}, {'threshold': 0.9, 'micro_f1': 0.0}]"
2,0.2186237645369989,0.09236453201928306,0.7608024477958679,0.007947546194870493,495,0.24957212805747986,0.48585159897635105,"[{'threshold': 0.1, 'micro_f1': 0.011372069235243386}, {'threshold': 0.2, 'micro_f1': 0.01137411041790764}, {'threshold': 0.3, 'micro_f1': 0.01155742941101316}, {'threshold': 0.4, 'micro_f1': 0.012466130306623953}, {'threshold': 0.5, 'micro_f1': 0.016023064492834582}, {'threshold': 0.6, 'micro_f1': 0.030627628342458146}, {'threshold': 0.7, 'micro_f1': 0.07661315316432157}, {'threshold': 0.8, 'micro_f1': 0.06634882796980532}, {'threshold': 0.9, 'micro_f1': 0.0}]"
3,0.20013546667717122,0.13576864535725897,0.7465659379959106,0.017216642754162965,495,0.2439889907836914,0.481349258885862,"[{'threshold': 0.1, 'micro_f1': 0.011372069235243386}, {'threshold': 0.2, 'micro_f1': 0.011374792647009038}, {'threshold': 0.3, 'micro_f1': 0.011486886842593793}, {'threshold': 0.4, 'micro_f1': 0.01242977310801791}, {'threshold': 0.5, 'micro_f1': 0.017138959653489876}, {'threshold': 0.6, 'micro_f1': 0.03716625838220375}, {'threshold': 0.7, 'micro_f1': 0.1027827300209286}, {'threshold': 0.8, 'micro_f1': 0.09706000805477244}, {'threshold': 0.9, 'micro_f1': 0.0}]"
4,0.18699465408211663,0.15233981281452172,0.7376256585121155,0.024436090225119885,495,0.23704718053340912,0.474717549815197,"[{'threshold': 0.1, 'micro_f1': 0.011372069235243386}, {'threshold': 0.2, 'micro_f1': 0.01137403680513938}, {'threshold': 0.3, 'micro_f1': 0.011473106175148464}, {'threshold': 0.4, 'micro_f1': 0.012676031103307414}, {'threshold': 0.5, 'micro_f1': 0.0200485116609666}, {'threshold': 0.6, 'micro_f1': 0.048107440930998}, {'threshold': 0.7, 'micro_f1': 0.12771323065838058}, {'threshold': 0.8, 'micro_f1': 0.1095228508153815}, {'threshold': 0.9, 'micro_f1': 0.00044081992506061265}]"
5,0.17279165880705313,0.14467145223586533,0.7226724028587341,0.02059357964820789,495,0.22656488418579102,0.46368953683514497,"[{'threshold': 0.1, 'micro_f1': 0.011372069235243386}, {'threshold': 0.2, 'micro_f1': 0.011373865685077318}, {'threshold': 0.3, 'micro_f1': 0.011491021049484419}, {'threshold': 0.4, 'micro_f1': 0.012915885569071977}, {'threshold': 0.5, 'micro_f1': 0.021389392007818038}, {'threshold': 0.6, 'micro_f1': 0.056292839434154876}, {'threshold': 0.7, 'micro_f1': 0.1338109788220419}, {'threshold': 0.8, 'micro_f1': 0.10840662712211084}, {'threshold': 0.9, 'micro_f1': 0.0}]"
6,0.1553301184423386,0.1729172630971684,0.7186331748962402,0.026160889469744722,495,0.20839127898216248,0.44303858236095034,"[{'threshold': 0.1, 'micro_f1': 0.011372097745887768}, {'threshold': 0.2, 'micro_f1': 0.011377449068040156}, {'threshold': 0.3, 'micro_f1': 0.01169403263075356}, {'threshold': 0.4, 'micro_f1': 0.01438785025978063}, {'threshold': 0.5, 'micro_f1': 0.026229297491829166}, {'threshold': 0.6, 'micro_f1': 0.07663872043296528}, {'threshold': 0.7, 'micro_f1': 0.16325062927004672}, {'threshold': 0.8, 'micro_f1': 0.11812461944388064}, {'threshold': 0.9, 'micro_f1': 0.012269938650306745}]"
7,0.13490759041258898,0.1917732073369437,0.7052491307258606,0.027118644067297408,495,0.1897284835577011,0.42042061807350756,"[{'threshold': 0.1, 'micro_f1': 0.011372126256675108}, {'threshold': 0.2, 'micro_f1': 0.011420480526858788}, {'threshold': 0.3, 'micro_f1': 0.012169692562384135}, {'threshold': 0.4, 'micro_f1': 0.015583117070504053}, {'threshold': 0.5, 'micro_f1': 0.031431308725431276}, {'threshold': 0.6, 'micro_f1': 0.103771766368952}, {'threshold': 0.7, 'micro_f1': 0.1887143997870641}, {'threshold': 0.8, 'micro_f1': 0.13488558811722198}, {'threshold': 0.9, 'micro_f1': 0.023098714316844623}]"
8,0.11277363898735197,0.20451745379829725,0.6906912326812744,0.03162486368545836,495,0.16555184125900269,0.388677765255543,"[{'threshold': 0.1, 'micro_f1': 0.011378287938914447}, {'threshold': 0.2, 'micro_f1': 0.011656056666367794}, {'threshold': 0.3, 'micro_f1': 0.012897207510832932}, {'threshold': 0.4, 'micro_f1': 0.018327658897053914}, {'threshold': 0.5, 'micro_f1': 0.04145249255109686}, {'threshold': 0.6, 'micro_f1': 0.13649851632047477}, {'threshold': 0.7, 'micro_f1': 0.20032357699661713}, {'threshold': 0.8, 'micro_f1': 0.1297384958443138}, {'threshold': 0.9, 'micro_f1': 0.01878139331731819}]"
9,0.09130157352912993,0.2383705650455106,0.6735938191413879,0.03665987780000499,495,0.13994039595127106,0.35262148948206623,"[{'threshold': 0.1, 'micro_f1': 0.011413079731714593}, {'threshold': 0.2, 'micro_f1': 0.012136883004118214}, {'threshold': 0.3, 'micro_f1': 0.014316287901799429}, {'threshold': 0.4, 'micro_f1': 0.022603660503020224}, {'threshold': 0.5, 'micro_f1': 0.05955658407479818}, {'threshold': 0.6, 'micro_f1': 0.18173099976024934}, {'threshold': 0.7, 'micro_f1': 0.2264383772944624}, {'threshold': 0.8, 'micro_f1': 0.13960973647153488}, {'threshold': 0.9, 'micro_f1': 0.027826086956521733}]"
10,0.07163426786582305,0.26801586216279977,0.6711444854736328,0.037775445959743935,495,0.11968500912189484,0.3222121154710942,"[{'threshold': 0.1, 'micro_f1': 0.01151128594889814}, {'threshold': 0.2, 'micro_f1': 0.012460050625222936}, {'threshold': 0.3, 'micro_f1': 0.016006414078079068}, {'threshold': 0.4, 'micro_f1': 0.029410270737034592}, {'threshold': 0.5, 'micro_f1': 0.0845332646715126}, {'threshold': 0.6, 'micro_f1': 0.2250037475640833}, {'threshold': 0.7, 'micro_f1': 0.24385572933290772}, {'threshold': 0.8, 'micro_f1': 0.13859790491539078}, {'threshold': 0.9, 'micro_f1': 0.038062283737024215}]"
11,0.05551645912663646,0.2848563968663578,0.6603069305419922,0.03740648379031675,495,0.10000082105398178,0.2896525543205819,"[{'threshold': 0.1, 'micro_f1': 0.011667975991797502}, {'threshold': 0.2, 'micro_f1': 0.013117549489218559}, {'threshold': 0.3, 'micro_f1': 0.01915249290206172}, {'threshold': 0.4, 'micro_f1': 0.04059082027594571}, {'threshold': 0.5, 'micro_f1': 0.11201510565629079}, {'threshold': 0.6, 'micro_f1': 0.2404612514838053}, {'threshold': 0.7, 'micro_f1': 0.24401763224181355}, {'threshold': 0.8, 'micro_f1': 0.14493910960271508}, {'threshold': 0.9, 'micro_f1': 0.050290135396518366}]"
12,0.042666299357300715,0.29745385962501303,0.6517289280891418,0.038668098818110445,495,0.08463156968355179,0.26277568740310997,"[{'threshold': 0.1, 'micro_f1': 0.011883061507301994}, {'threshold': 0.2, 'micro_f1': 0.014185319255219417}, {'threshold': 0.3, 'micro_f1': 0.02311225313550967}, {'threshold': 0.4, 'micro_f1': 0.05529963883301975}, {'threshold': 0.5, 'micro_f1': 0.14449072321090495}, {'threshold': 0.6, 'micro_f1': 0.26768567509308244}, {'threshold': 0.7, 'micro_f1': 0.2717849044379656}, {'threshold': 0.8, 'micro_f1': 0.14176706827309235}, {'threshold': 0.9, 'micro_f1': 0.04271844660194174}]"
13,0.03288879354913083,0.31172634100843943,0.6380721926689148,0.0373056994814745,495,0.07060001790523529,0.23619987322329683,"[{'threshold': 0.1, 'micro_f1': 0.012134225231921161}, {'threshold': 0.2, 'micro_f1': 0.015827926868132083}, {'threshold': 0.3, 'micro_f1': 0.03018637622646824}, {'threshold': 0.4, 'micro_f1': 0.07735825467275115}, {'threshold': 0.5, 'micro_f1': 0.18983453878925988}, {'threshold': 0.6, 'micro_f1': 0.30220379663975555}, {'threshold': 0.7, 'micro_f1': 0.2751688910858461}, {'threshold': 0.8, 'micro_f1': 0.15268389662027831}, {'threshold': 0.9, 'micro_f1': 0.05697151424287855}]"
14,0.025544334538083857,0.307692307691821,0.6260053515434265,0.03925845147183999,495,0.06208597868680954,0.21784207464768696,"[{'threshold': 0.1, 'micro_f1': 0.012338764426340802}, {'threshold': 0.2, 'micro_f1': 0.017448943677860103}, {'threshold': 0.3, 'micro_f1': 0.03643618605205169}, {'threshold': 0.4, 'micro_f1': 0.09239917067636819}, {'threshold': 0.5, 'micro_f1': 0.19128409846972722}, {'threshold': 0.6, 'micro_f1': 0.28968978102189774}, {'threshold': 0.7, 'micro_f1': 0.27402193485022097}, {'threshold': 0.8, 'micro_f1': 0.1412282456491298}, {'threshold': 0.9, 'micro_f1': 0.02911144905496415}]"
15,0.020223147452626593,0.3162777621586607,0.6496669054031372,0.04433497536923478,495,0.0508546456694603,0.19204150162540262,"[{'threshold': 0.1, 'micro_f1': 0.012851049687032627}, {'threshold': 0.2, 'micro_f1': 0.02016383474260277}, {'threshold': 0.3, 'micro_f1': 0.046198382290336314}, {'threshold': 0.4, 'micro_f1': 0.11243657562344812}, {'threshold': 0.5, 'micro_f1': 0.23126112466213986}, {'threshold': 0.6, 'micro_f1': 0.30534709193245774}, {'threshold': 0.7, 'micro_f1': 0.28044280442804426}, {'threshold': 0.8, 'micro_f1': 0.15009823182711196}, {'threshold': 0.9, 'micro_f1': 0.05319605319605319}]"
16,0.016060779161908956,0.3234551495011822,0.6157925128936768,0.04358353510871394,495,0.043469179421663284,0.17447046765095597,"[{'threshold': 0.1, 'micro_f1': 0.013372945212488763}, {'threshold': 0.2, 'micro_f1': 0.02382404272767416}, {'threshold': 0.3, 'micro_f1': 0.05991996990321147}, {'threshold': 0.4, 'micro_f1': 0.142051317328197}, {'threshold': 0.5, 'micro_f1': 0.25548008644643405}, {'threshold': 0.6, 'micro_f1': 0.32009987515605487}, {'threshold': 0.7, 'micro_f1': 0.2724143583019177}, {'threshold': 0.8, 'micro_f1': 0.15753290119819285}, {'threshold': 0.9, 'micro_f1': 0.05883606906842889}]"
