epoch,train_loss,validation_micro_fmax,validation_micro_fmax_threshold,validation_rare_term_micro_fmax_train_count_1_to_10,rare_term_count,brier_score,expected_calibration_error_10_bins,threshold_sensitivity
1,1.3010240591392315,0.010646091761543365,0.40283817052841187,0.0027219300958248333,979,0.2703242599964142,0.49484554029133393,"[{'threshold': 0.1, 'micro_f1': 0.00994036024771397}, {'threshold': 0.2, 'micro_f1': 0.010037931268614674}, {'threshold': 0.3, 'micro_f1': 0.01031491015260433}, {'threshold': 0.4, 'micro_f1': 0.010640019872909539}, {'threshold': 0.5, 'micro_f1': 0.009986871325852737}, {'threshold': 0.6, 'micro_f1': 0.009521256786919776}, {'threshold': 0.7, 'micro_f1': 0.007860956798446686}, {'threshold': 0.8, 'micro_f1': 0.0058016877637130804}, {'threshold': 0.9, 'micro_f1': 0.0}]"
2,1.250677105295595,0.010827681497105881,0.4324088990688324,0.004904692899234695,979,0.2687583565711975,0.4934967637956004,"[{'threshold': 0.1, 'micro_f1': 0.009947066235872081}, {'threshold': 0.2, 'micro_f1': 0.01005742989723877}, {'threshold': 0.3, 'micro_f1': 0.010445775992625271}, {'threshold': 0.4, 'micro_f1': 0.010701602032871382}, {'threshold': 0.5, 'micro_f1': 0.010468451185444051}, {'threshold': 0.6, 'micro_f1': 0.009778487809469109}, {'threshold': 0.7, 'micro_f1': 0.008604286753595612}, {'threshold': 0.8, 'micro_f1': 0.0052404438964241675}, {'threshold': 0.9, 'micro_f1': 0.0}]"
3,1.2129655376313224,0.011192350551757678,0.5295263528823853,0.00838047349656104,979,0.2670101225376129,0.4924585817802501,"[{'threshold': 0.1, 'micro_f1': 0.00994241803315705}, {'threshold': 0.2, 'micro_f1': 0.010022055860579079}, {'threshold': 0.3, 'micro_f1': 0.010443600158932916}, {'threshold': 0.4, 'micro_f1': 0.010690791450251046}, {'threshold': 0.5, 'micro_f1': 0.010948049908806512}, {'threshold': 0.6, 'micro_f1': 0.010385581326636136}, {'threshold': 0.7, 'micro_f1': 0.01016035234438247}, {'threshold': 0.8, 'micro_f1': 0.003971571906354515}, {'threshold': 0.9, 'micro_f1': 0.0}]"
4,1.1805979713561043,0.011851956992206817,0.6829901933670044,0.011800923550310543,979,0.26613709330558777,0.49130248490525086,"[{'threshold': 0.1, 'micro_f1': 0.009947229106603948}, {'threshold': 0.2, 'micro_f1': 0.010035433222733349}, {'threshold': 0.3, 'micro_f1': 0.010494088993938258}, {'threshold': 0.4, 'micro_f1': 0.010936317391791475}, {'threshold': 0.5, 'micro_f1': 0.011116936580061361}, {'threshold': 0.6, 'micro_f1': 0.010917186327687785}, {'threshold': 0.7, 'micro_f1': 0.011098337460205164}, {'threshold': 0.8, 'micro_f1': 0.005808867270882178}, {'threshold': 0.9, 'micro_f1': 0.0}]"
5,1.1484479960941134,0.01292507737512704,0.7183087468147278,0.014136196819226215,979,0.2657620906829834,0.4912769470028964,"[{'threshold': 0.1, 'micro_f1': 0.009943053530163325}, {'threshold': 0.2, 'micro_f1': 0.010036644826594722}, {'threshold': 0.3, 'micro_f1': 0.010506844929508622}, {'threshold': 0.4, 'micro_f1': 0.011183574898658405}, {'threshold': 0.5, 'micro_f1': 0.011498883603533638}, {'threshold': 0.6, 'micro_f1': 0.012082812558007153}, {'threshold': 0.7, 'micro_f1': 0.012339059845195394}, {'threshold': 0.8, 'micro_f1': 0.0071472403710789445}, {'threshold': 0.9, 'micro_f1': 0.0}]"
6,1.128714768659501,0.014460752478579891,0.6834962368011475,0.01913875598067091,979,0.26398175954818726,0.48949224435077304,"[{'threshold': 0.1, 'micro_f1': 0.009946696065214682}, {'threshold': 0.2, 'micro_f1': 0.010054992831411817}, {'threshold': 0.3, 'micro_f1': 0.010546752644287638}, {'threshold': 0.4, 'micro_f1': 0.01133955468741782}, {'threshold': 0.5, 'micro_f1': 0.011905521864028087}, {'threshold': 0.6, 'micro_f1': 0.012582084315003258}, {'threshold': 0.7, 'micro_f1': 0.012598473705691645}, {'threshold': 0.8, 'micro_f1': 0.010414715468474882}, {'threshold': 0.9, 'micro_f1': 0.0}]"
7,1.10622531049466,0.016520583435436335,0.7509335875511169,0.04337111877734568,979,0.2633562982082367,0.4890370755418837,"[{'threshold': 0.1, 'micro_f1': 0.009950284702415681}, {'threshold': 0.2, 'micro_f1': 0.01006287461234868}, {'threshold': 0.3, 'micro_f1': 0.010497051089567746}, {'threshold': 0.4, 'micro_f1': 0.011276941609243044}, {'threshold': 0.5, 'micro_f1': 0.011909958451631624}, {'threshold': 0.6, 'micro_f1': 0.013018059838551772}, {'threshold': 0.7, 'micro_f1': 0.013768661397566178}, {'threshold': 0.8, 'micro_f1': 0.012649598545674897}, {'threshold': 0.9, 'micro_f1': 0.0}]"
8,1.1028302579960496,0.018982676004114907,0.7708097100257874,0.07138607971403205,979,0.26254159212112427,0.48808094824496406,"[{'threshold': 0.1, 'micro_f1': 0.009950057047555685}, {'threshold': 0.2, 'micro_f1': 0.010065548517290825}, {'threshold': 0.3, 'micro_f1': 0.010536026991289247}, {'threshold': 0.4, 'micro_f1': 0.01151001922944015}, {'threshold': 0.5, 'micro_f1': 0.012343647747080166}, {'threshold': 0.6, 'micro_f1': 0.013559580746921747}, {'threshold': 0.7, 'micro_f1': 0.016477825799166766}, {'threshold': 0.8, 'micro_f1': 0.01712690508525728}, {'threshold': 0.9, 'micro_f1': 0.0004580852038479156}]"
9,1.0709218471138566,0.019382627422540374,0.7649691700935364,0.05825242718405221,979,0.262297123670578,0.48793449944487344,"[{'threshold': 0.1, 'micro_f1': 0.009950338622197817}, {'threshold': 0.2, 'micro_f1': 0.010071347896752155}, {'threshold': 0.3, 'micro_f1': 0.010531031010167778}, {'threshold': 0.4, 'micro_f1': 0.0115415196035746}, {'threshold': 0.5, 'micro_f1': 0.012294848592133376}, {'threshold': 0.6, 'micro_f1': 0.01419348580268502}, {'threshold': 0.7, 'micro_f1': 0.015313599636360786}, {'threshold': 0.8, 'micro_f1': 0.01699480292856872}, {'threshold': 0.9, 'micro_f1': 0.0004585578356070158}]"
10,1.0520309613495278,0.023787125385971712,0.7942174673080444,0.11764705882303872,979,0.26026207208633423,0.4856814312856145,"[{'threshold': 0.1, 'micro_f1': 0.009948493487180568}, {'threshold': 0.2, 'micro_f1': 0.010056961680268496}, {'threshold': 0.3, 'micro_f1': 0.01051677605043272}, {'threshold': 0.4, 'micro_f1': 0.011577538195274807}, {'threshold': 0.5, 'micro_f1': 0.012486617882287743}, {'threshold': 0.6, 'micro_f1': 0.01552279327380166}, {'threshold': 0.7, 'micro_f1': 0.019484195628243436}, {'threshold': 0.8, 'micro_f1': 0.02076789475629134}, {'threshold': 0.9, 'micro_f1': 0.0015939883866560398}]"
