epoch,train_loss,validation_micro_fmax,validation_macro_fmax,validation_micro_aupr,validation_macro_aupr,validation_micro_auroc,validation_macro_auroc,validation_smin,validation_micro_fmax_threshold,validation_rare_term_micro_fmax_train_count_1_to_10,rare_term_count,brier_score,expected_calibration_error_10_bins,threshold_sensitivity
1,0.1293707275861188,0.30396299680175287,0.2819828197723857,0.16641880555324196,0.19936457693362203,0.7636328061785017,0.6044875217369061,34.535344975613825,0.5965745449066162,0.13043478260820418,95,0.20004405081272125,0.39060486301957736,"[{'threshold': 0.1, 'micro_f1': 0.09107990191395178}, {'threshold': 0.2, 'micro_f1': 0.09106754681610593}, {'threshold': 0.3, 'micro_f1': 0.09494640122511486}, {'threshold': 0.4, 'micro_f1': 0.12474050121261115}, {'threshold': 0.5, 'micro_f1': 0.2118439934399344}, {'threshold': 0.6, 'micro_f1': 0.2998440763731576}, {'threshold': 0.7, 'micro_f1': 0.07477612915876854}, {'threshold': 0.8, 'micro_f1': 0.0018864688732635909}, {'threshold': 0.9, 'micro_f1': 0.0}]"
2,0.05967503021422185,0.3549479571224251,0.2807392770972129,0.20252949913872687,0.18446806735879034,0.773293396062708,0.6186344558063656,34.6397067125027,0.5673993825912476,0.008397480755703138,95,0.12423939257860184,0.2670872790159946,"[{'threshold': 0.1, 'micro_f1': 0.09017283541260829}, {'threshold': 0.2, 'micro_f1': 0.10540422214866149}, {'threshold': 0.3, 'micro_f1': 0.1479828546660031}, {'threshold': 0.4, 'micro_f1': 0.22351122444934793}, {'threshold': 0.5, 'micro_f1': 0.31592110747899343}, {'threshold': 0.6, 'micro_f1': 0.3378961464067847}, {'threshold': 0.7, 'micro_f1': 0.08278213433344697}, {'threshold': 0.8, 'micro_f1': 0.004569301066170248}, {'threshold': 0.9, 'micro_f1': 0.0}]"
3,0.04327392164421709,0.3230610918539918,0.2939986233567954,0.19797874540464883,0.20699987314067733,0.8006943439938212,0.6038367547789762,34.152288029858376,0.5712587237358093,0.010547905068824373,95,0.11944901198148727,0.247704212997002,"[{'threshold': 0.1, 'micro_f1': 0.10158386379044404}, {'threshold': 0.2, 'micro_f1': 0.12464980668061101}, {'threshold': 0.3, 'micro_f1': 0.16635449308039876}, {'threshold': 0.4, 'micro_f1': 0.2308927923726618}, {'threshold': 0.5, 'micro_f1': 0.29308731113785264}, {'threshold': 0.6, 'micro_f1': 0.31161346098427845}, {'threshold': 0.7, 'micro_f1': 0.14322410876511496}, {'threshold': 0.8, 'micro_f1': 0.0200920887400586}, {'threshold': 0.9, 'micro_f1': 0.0}]"
4,0.030797002699814346,0.37610287757293887,0.2621752830207782,0.24782344720115457,0.17465350313852201,0.8129137908267914,0.6136605750133478,34.59513224066003,0.5343429446220398,0.006687816170787658,95,0.0922233983874321,0.2001597372292324,"[{'threshold': 0.1, 'micro_f1': 0.10091959675436439}, {'threshold': 0.2, 'micro_f1': 0.15241714165083387}, {'threshold': 0.3, 'micro_f1': 0.22564040009758476}, {'threshold': 0.4, 'micro_f1': 0.30439003724559144}, {'threshold': 0.5, 'micro_f1': 0.3673829256618888}, {'threshold': 0.6, 'micro_f1': 0.3503002026846151}, {'threshold': 0.7, 'micro_f1': 0.23046453006841916}, {'threshold': 0.8, 'micro_f1': 0.0026929226626272824}, {'threshold': 0.9, 'micro_f1': 0.0}]"
5,0.020867445408121535,0.3842337184686931,0.2640752572013351,0.27145388276463234,0.18219414983591142,0.8103956343734661,0.6148101826572709,33.427929897487225,0.5509545207023621,0.009287547354258421,95,0.07563020288944244,0.1569497402465439,"[{'threshold': 0.1, 'micro_f1': 0.11979309768130832}, {'threshold': 0.2, 'micro_f1': 0.20080482897384305}, {'threshold': 0.3, 'micro_f1': 0.2706689536878216}, {'threshold': 0.4, 'micro_f1': 0.3261463581248399}, {'threshold': 0.5, 'micro_f1': 0.3692859452626628}, {'threshold': 0.6, 'micro_f1': 0.3781999021685961}, {'threshold': 0.7, 'micro_f1': 0.27688233939673035}, {'threshold': 0.8, 'micro_f1': 0.06820699477765468}, {'threshold': 0.9, 'micro_f1': 0.0024343592418709786}]"
6,0.016294960158043787,0.4379591184919982,0.2885877419334124,0.31268239236347484,0.19066762932374057,0.8162574149404456,0.6842243587199045,32.248287475516186,0.6202154159545898,0.005561172901912408,95,0.07328808307647705,0.14812723585527768,"[{'threshold': 0.1, 'micro_f1': 0.12946050340562645}, {'threshold': 0.2, 'micro_f1': 0.21009096533235572}, {'threshold': 0.3, 'micro_f1': 0.2828927230841106}, {'threshold': 0.4, 'micro_f1': 0.34764938721080374}, {'threshold': 0.5, 'micro_f1': 0.4085803563888185}, {'threshold': 0.6, 'micro_f1': 0.43303621798488096}, {'threshold': 0.7, 'micro_f1': 0.36743493660489707}, {'threshold': 0.8, 'micro_f1': 0.18730693625386124}, {'threshold': 0.9, 'micro_f1': 0.015756035578144853}]"
7,0.013239866328474723,0.4512301241985394,0.315765922975454,0.3285709173472593,0.20503352379684553,0.8156448321815529,0.6654300317676903,31.90514203476156,0.5241040587425232,0.05296610169481116,95,0.05571243166923523,0.1041388375600689,"[{'threshold': 0.1, 'micro_f1': 0.1624093133119622}, {'threshold': 0.2, 'micro_f1': 0.26643418677923586}, {'threshold': 0.3, 'micro_f1': 0.3471854446057914}, {'threshold': 0.4, 'micro_f1': 0.4100984167736414}, {'threshold': 0.5, 'micro_f1': 0.4471556886227545}, {'threshold': 0.6, 'micro_f1': 0.4051201222715766}, {'threshold': 0.7, 'micro_f1': 0.29422696481026317}, {'threshold': 0.8, 'micro_f1': 0.14172403472014364}, {'threshold': 0.9, 'micro_f1': 0.013395157135497165}]"
8,0.012510225715997973,0.464061621012958,0.31927437895397126,0.41128140188526874,0.2058168039064042,0.8328781691216655,0.6738547805828463,28.428806291993588,0.683678925037384,0.03298515667943869,95,0.06486482918262482,0.12207411351235645,"[{'threshold': 0.1, 'micro_f1': 0.16447094244622673}, {'threshold': 0.2, 'micro_f1': 0.2561635766976131}, {'threshold': 0.3, 'micro_f1': 0.31945037600965553}, {'threshold': 0.4, 'micro_f1': 0.37760999254287847}, {'threshold': 0.5, 'micro_f1': 0.4347574890949533}, {'threshold': 0.6, 'micro_f1': 0.4571367490914274}, {'threshold': 0.7, 'micro_f1': 0.46045883940620785}, {'threshold': 0.8, 'micro_f1': 0.4255807284198451}, {'threshold': 0.9, 'micro_f1': 0.1417175035194744}]"
9,0.010145757460084401,0.46755826740879086,0.29536724938002085,0.3889520761427757,0.20212318186346903,0.8362610313160115,0.6878703971293935,30.606797432674895,0.5176342129707336,0.02532391048289093,95,0.054690826684236526,0.10120394884965893,"[{'threshold': 0.1, 'micro_f1': 0.1803866233949485}, {'threshold': 0.2, 'micro_f1': 0.29413102081912373}, {'threshold': 0.3, 'micro_f1': 0.3619586182710854}, {'threshold': 0.4, 'micro_f1': 0.4200022175407473}, {'threshold': 0.5, 'micro_f1': 0.46238420034612643}, {'threshold': 0.6, 'micro_f1': 0.4578630229992362}, {'threshold': 0.7, 'micro_f1': 0.38843893917738603}, {'threshold': 0.8, 'micro_f1': 0.30153121319199055}, {'threshold': 0.9, 'micro_f1': 0.08531810766721043}]"
10,0.010078522450241604,0.44504181600908693,0.33295612396958013,0.3825284476586242,0.22738556438496726,0.8211940608366372,0.6714332920033712,30.164979461830903,0.4878927767276764,0.010085866157816101,95,0.05566203594207764,0.0993892225575874,"[{'threshold': 0.1, 'micro_f1': 0.18189420458965383}, {'threshold': 0.2, 'micro_f1': 0.2899104320337197}, {'threshold': 0.3, 'micro_f1': 0.3642366613840465}, {'threshold': 0.4, 'micro_f1': 0.41516866400355085}, {'threshold': 0.5, 'micro_f1': 0.44155489573734685}, {'threshold': 0.6, 'micro_f1': 0.4348009624720334}, {'threshold': 0.7, 'micro_f1': 0.4082275266632808}, {'threshold': 0.8, 'micro_f1': 0.3420152918505625}, {'threshold': 0.9, 'micro_f1': 0.15269437729080557}]"
