epoch,train_loss,validation_micro_fmax,validation_macro_fmax,validation_micro_aupr,validation_macro_aupr,validation_micro_auroc,validation_macro_auroc,validation_smin,validation_micro_fmax_threshold,validation_rare_term_micro_fmax_train_count_1_to_10,rare_term_count,brier_score,expected_calibration_error_10_bins,threshold_sensitivity
1,0.255423772556396,0.01239085000999651,0.11201598519526548,0.005601021170785914,0.04830448514202198,0.5418981258883941,0.5721080154978236,27.736439387978546,0.5210714936256409,0.006502737994934843,489,0.2655651271343231,0.49266642204656663,"[{'threshold': 0.1, 'micro_f1': 0.010562006630732429}, {'threshold': 0.2, 'micro_f1': 0.010670203956370609}, {'threshold': 0.3, 'micro_f1': 0.011091417670829329}, {'threshold': 0.4, 'micro_f1': 0.011489929887777743}, {'threshold': 0.5, 'micro_f1': 0.012065592216135845}, {'threshold': 0.6, 'micro_f1': 0.010778168882830015}, {'threshold': 0.7, 'micro_f1': 0.00795837159473523}, {'threshold': 0.8, 'micro_f1': 0.0037957523723452322}, {'threshold': 0.9, 'micro_f1': 0.0}]"
2,0.20425061114745052,0.012395982783243737,0.1436793306198557,0.005909381592456331,0.07103525885659451,0.5526879807064469,0.6091874073055031,27.736439387978546,0.6664851903915405,0.0052913988205834294,489,0.26164987683296204,0.49180417702997703,"[{'threshold': 0.1, 'micro_f1': 0.010559953445905948}, {'threshold': 0.2, 'micro_f1': 0.010619616391903963}, {'threshold': 0.3, 'micro_f1': 0.011008809433849702}, {'threshold': 0.4, 'micro_f1': 0.011649927806185534}, {'threshold': 0.5, 'micro_f1': 0.011846001974333662}, {'threshold': 0.6, 'micro_f1': 0.011552041524579774}, {'threshold': 0.7, 'micro_f1': 0.00961124659302826}, {'threshold': 0.8, 'micro_f1': 0.003194495638284801}, {'threshold': 0.9, 'micro_f1': 0.0}]"
3,0.1806415827742306,0.014825796886482459,0.1763302613267026,0.00653841212469299,0.09545605517711081,0.5758254182208519,0.6347591602184395,27.736439387978546,0.6426123380661011,0.005091705679105895,489,0.2581985592842102,0.49090605754409355,"[{'threshold': 0.1, 'micro_f1': 0.010559185362611455}, {'threshold': 0.2, 'micro_f1': 0.010588824137488713}, {'threshold': 0.3, 'micro_f1': 0.010936362426510306}, {'threshold': 0.4, 'micro_f1': 0.011907497934667156}, {'threshold': 0.5, 'micro_f1': 0.012389398698445936}, {'threshold': 0.6, 'micro_f1': 0.013708152597041485}, {'threshold': 0.7, 'micro_f1': 0.011316533982498848}, {'threshold': 0.8, 'micro_f1': 0.0035627530364372465}, {'threshold': 0.9, 'micro_f1': 0.0}]"
4,0.16874770409074322,0.021357109532601604,0.20955516927870238,0.007842460432945822,0.1285662538759308,0.6144689446722945,0.6566874602257896,27.736439387978546,0.7102334499359131,0.006655574043065285,489,0.2547253966331482,0.48914843484107795,"[{'threshold': 0.1, 'micro_f1': 0.010559145637204309}, {'threshold': 0.2, 'micro_f1': 0.010574209728524119}, {'threshold': 0.3, 'micro_f1': 0.010847363028786338}, {'threshold': 0.4, 'micro_f1': 0.0120528284601878}, {'threshold': 0.5, 'micro_f1': 0.013753710674701445}, {'threshold': 0.6, 'micro_f1': 0.017393926409090547}, {'threshold': 0.7, 'micro_f1': 0.02023306441285696}, {'threshold': 0.8, 'micro_f1': 0.004117536964252292}, {'threshold': 0.9, 'micro_f1': 0.0}]"
5,0.15945999217602555,0.02545221706391062,0.22356504193116458,0.008359986516590957,0.14042474620553658,0.6099308629396079,0.6656874327586036,27.692461323393967,0.6880751252174377,0.007317375666531699,489,0.2540839612483978,0.48944108595483243,"[{'threshold': 0.1, 'micro_f1': 0.010559092670459748}, {'threshold': 0.2, 'micro_f1': 0.010569192435872492}, {'threshold': 0.3, 'micro_f1': 0.010778363167678261}, {'threshold': 0.4, 'micro_f1': 0.01185350331868046}, {'threshold': 0.5, 'micro_f1': 0.01368891092712699}, {'threshold': 0.6, 'micro_f1': 0.016956595169734842}, {'threshold': 0.7, 'micro_f1': 0.024082057380704625}, {'threshold': 0.8, 'micro_f1': 0.007747196738022425}, {'threshold': 0.9, 'micro_f1': 0.0}]"
6,0.15531801185335975,0.0320610092989751,0.24626113903470281,0.009865094236598709,0.1554891170550095,0.6362194456640242,0.6846032462089341,27.68357118743057,0.6805206537246704,0.010446175637263067,489,0.2520478367805481,0.48804198703437573,"[{'threshold': 0.1, 'micro_f1': 0.010559079428856635}, {'threshold': 0.2, 'micro_f1': 0.010566911010796572}, {'threshold': 0.3, 'micro_f1': 0.010769409960744259}, {'threshold': 0.4, 'micro_f1': 0.011922369997263179}, {'threshold': 0.5, 'micro_f1': 0.01494444042712175}, {'threshold': 0.6, 'micro_f1': 0.020550432067387988}, {'threshold': 0.7, 'micro_f1': 0.02863009011064218}, {'threshold': 0.8, 'micro_f1': 0.00775527789745799}, {'threshold': 0.9, 'micro_f1': 0.0}]"
7,0.14941846067456416,0.036299830015546625,0.26373563098059155,0.010586678468446279,0.17956331741004086,0.6342026071023942,0.6856248040879612,27.699060094541704,0.694731593132019,0.02186421173727697,489,0.24959348142147064,0.4858581506973679,"[{'threshold': 0.1, 'micro_f1': 0.010559092670459748}, {'threshold': 0.2, 'micro_f1': 0.010566128655792673}, {'threshold': 0.3, 'micro_f1': 0.01074424753191696}, {'threshold': 0.4, 'micro_f1': 0.011851023395529027}, {'threshold': 0.5, 'micro_f1': 0.014852627645778842}, {'threshold': 0.6, 'micro_f1': 0.02171637629980338}, {'threshold': 0.7, 'micro_f1': 0.03483768804433888}, {'threshold': 0.8, 'micro_f1': 0.00907715582450832}, {'threshold': 0.9, 'micro_f1': 0.0}]"
8,0.14490147638542267,0.046879850977504293,0.27856640973386165,0.013036348388826786,0.19450936461204205,0.6154959485911952,0.6872177744182996,27.631511196533534,0.7498063445091248,0.0485436893199289,489,0.2501058280467987,0.48699886036390894,"[{'threshold': 0.1, 'micro_f1': 0.010559079428856635}, {'threshold': 0.2, 'micro_f1': 0.010562695619993854}, {'threshold': 0.3, 'micro_f1': 0.01068107788731641}, {'threshold': 0.4, 'micro_f1': 0.011687208132741708}, {'threshold': 0.5, 'micro_f1': 0.014106877715873644}, {'threshold': 0.6, 'micro_f1': 0.020752776635129578}, {'threshold': 0.7, 'micro_f1': 0.04346349745331069}, {'threshold': 0.8, 'micro_f1': 0.014476858960298308}, {'threshold': 0.9, 'micro_f1': 0.0}]"
9,0.14197764472556684,0.0542152344803991,0.28596060817464464,0.013785382025623412,0.2035972681184626,0.6256305587846261,0.6932527402421844,27.666285461305158,0.73170006275177,0.04992657856045356,489,0.24845737218856812,0.48592759169083366,"[{'threshold': 0.1, 'micro_f1': 0.010559079428856635}, {'threshold': 0.2, 'micro_f1': 0.010561953635281441}, {'threshold': 0.3, 'micro_f1': 0.010675049610794903}, {'threshold': 0.4, 'micro_f1': 0.011672468771026534}, {'threshold': 0.5, 'micro_f1': 0.014648683863992349}, {'threshold': 0.6, 'micro_f1': 0.02181587761383181}, {'threshold': 0.7, 'micro_f1': 0.04816084788029924}, {'threshold': 0.8, 'micro_f1': 0.008148483476686282}, {'threshold': 0.9, 'micro_f1': 0.0}]"
10,0.13865877561449055,0.05686218947718223,0.29121564027575125,0.016320587343259585,0.20556191063368742,0.662458069957446,0.696770369776295,27.519693930345362,0.7102165818214417,0.05091487669006768,489,0.2457934021949768,0.4832910663279567,"[{'threshold': 0.1, 'micro_f1': 0.010559079428856635}, {'threshold': 0.2, 'micro_f1': 0.01056196688409433}, {'threshold': 0.3, 'micro_f1': 0.010679330426563405}, {'threshold': 0.4, 'micro_f1': 0.011866079450884507}, {'threshold': 0.5, 'micro_f1': 0.015652849504136007}, {'threshold': 0.6, 'micro_f1': 0.025265941746655803}, {'threshold': 0.7, 'micro_f1': 0.05150349375834183}, {'threshold': 0.8, 'micro_f1': 0.014502605937004302}, {'threshold': 0.9, 'micro_f1': 0.0}]"
11,0.13591934262283284,0.06270326525252913,0.29095959739529237,0.01721460806616313,0.20562375826605586,0.6621831585976402,0.705017820580216,27.613095647474296,0.7327644228935242,0.05503009458254182,489,0.24561043083667755,0.48306027561721626,"[{'threshold': 0.1, 'micro_f1': 0.010559079428856635}, {'threshold': 0.2, 'micro_f1': 0.010562523364251503}, {'threshold': 0.3, 'micro_f1': 0.010685102110841414}, {'threshold': 0.4, 'micro_f1': 0.011853314860124399}, {'threshold': 0.5, 'micro_f1': 0.01571857147783308}, {'threshold': 0.6, 'micro_f1': 0.02687855138754627}, {'threshold': 0.7, 'micro_f1': 0.050293004969957714}, {'threshold': 0.8, 'micro_f1': 0.01208594449418084}, {'threshold': 0.9, 'micro_f1': 0.0}]"
12,0.1323186649449308,0.06897542750347375,0.3062412755353765,0.021056667627470983,0.22306715739268201,0.6563072162383489,0.6989985521277308,27.157272000451297,0.723678469657898,0.058455114822263204,489,0.24411509931087494,0.4824229758959284,"[{'threshold': 0.1, 'micro_f1': 0.010559079428856635}, {'threshold': 0.2, 'micro_f1': 0.01056032428473243}, {'threshold': 0.3, 'micro_f1': 0.010653538523843271}, {'threshold': 0.4, 'micro_f1': 0.011743605196972682}, {'threshold': 0.5, 'micro_f1': 0.015996869542871495}, {'threshold': 0.6, 'micro_f1': 0.02746082355335459}, {'threshold': 0.7, 'micro_f1': 0.061173292165187174}, {'threshold': 0.8, 'micro_f1': 0.011595547309833022}, {'threshold': 0.9, 'micro_f1': 0.0}]"
13,0.12986498873493083,0.06905907016844882,0.3062165638623858,0.022833821884874685,0.22042649184697874,0.6732462977381474,0.7112538427525078,27.293065698342605,0.7115344405174255,0.0621761658028172,489,0.24008916318416595,0.47818613722598047,"[{'threshold': 0.1, 'micro_f1': 0.010559079428856635}, {'threshold': 0.2, 'micro_f1': 0.010560509713913032}, {'threshold': 0.3, 'micro_f1': 0.010657243135470444}, {'threshold': 0.4, 'micro_f1': 0.01176837036413747}, {'threshold': 0.5, 'micro_f1': 0.016801588513823126}, {'threshold': 0.6, 'micro_f1': 0.030892036367304008}, {'threshold': 0.7, 'micro_f1': 0.0672268907563025}, {'threshold': 0.8, 'micro_f1': 0.01439182915506035}, {'threshold': 0.9, 'micro_f1': 0.0}]"
14,0.12763355447063396,0.07361610352216776,0.31906916990561845,0.026159185186389683,0.23680827787390277,0.6832062473008024,0.7105425729821406,26.995874507668447,0.7231549620628357,0.06412825651270081,489,0.23750393092632294,0.4755311659430317,"[{'threshold': 0.1, 'micro_f1': 0.010559079428856635}, {'threshold': 0.2, 'micro_f1': 0.01056033752945795}, {'threshold': 0.3, 'micro_f1': 0.010676914881473308}, {'threshold': 0.4, 'micro_f1': 0.011989016513903392}, {'threshold': 0.5, 'micro_f1': 0.01730874658942905}, {'threshold': 0.6, 'micro_f1': 0.031431827724791556}, {'threshold': 0.7, 'micro_f1': 0.07041817243159523}, {'threshold': 0.8, 'micro_f1': 0.013438368860055604}, {'threshold': 0.9, 'micro_f1': 0.0}]"
15,0.12480600024091787,0.08138003687072003,0.31295047762096945,0.03145863391250715,0.2318993943904394,0.6446136330141554,0.7129733109274409,26.740291447526857,0.7108150124549866,0.06265060240955557,489,0.240285262465477,0.4790337161896372,"[{'threshold': 0.1, 'micro_f1': 0.010559079428856635}, {'threshold': 0.2, 'micro_f1': 0.010559463448831123}, {'threshold': 0.3, 'micro_f1': 0.010622049343007046}, {'threshold': 0.4, 'micro_f1': 0.011583084075570236}, {'threshold': 0.5, 'micro_f1': 0.015471825995871715}, {'threshold': 0.6, 'micro_f1': 0.031582505674226935}, {'threshold': 0.7, 'micro_f1': 0.07655502392344496}, {'threshold': 0.8, 'micro_f1': 0.029615918556223964}, {'threshold': 0.9, 'micro_f1': 0.0}]"
16,0.12232892424737743,0.08257539492530183,0.3211417740395105,0.03918797287838856,0.24382768304695537,0.6717590909180403,0.7175309348645581,26.895226414129247,0.7007594108581543,0.06960081883285829,489,0.2350369244813919,0.47351434466784453,"[{'threshold': 0.1, 'micro_f1': 0.010559079428856635}, {'threshold': 0.2, 'micro_f1': 0.010559834253242886}, {'threshold': 0.3, 'micro_f1': 0.0106378267861187}, {'threshold': 0.4, 'micro_f1': 0.0117324574358732}, {'threshold': 0.5, 'micro_f1': 0.017135903279104817}, {'threshold': 0.6, 'micro_f1': 0.034284716767041985}, {'threshold': 0.7, 'micro_f1': 0.08159415163306212}, {'threshold': 0.8, 'micro_f1': 0.03182656826568265}, {'threshold': 0.9, 'micro_f1': 0.0}]"
17,0.11947457632667506,0.08603896103852833,0.3282465981042256,0.04211729544810086,0.24477160715632623,0.6872203439801114,0.7234405863842993,26.838087888389982,0.7237887978553772,0.07142857142836967,489,0.2321855127811432,0.47052926675182993,"[{'threshold': 0.1, 'micro_f1': 0.010559079428856635}, {'threshold': 0.2, 'micro_f1': 0.010559873983831604}, {'threshold': 0.3, 'micro_f1': 0.010651006005758738}, {'threshold': 0.4, 'micro_f1': 0.01187364859917545}, {'threshold': 0.5, 'micro_f1': 0.017992103199471265}, {'threshold': 0.6, 'micro_f1': 0.03973632559345258}, {'threshold': 0.7, 'micro_f1': 0.08002936857562408}, {'threshold': 0.8, 'micro_f1': 0.03586206896551723}, {'threshold': 0.9, 'micro_f1': 0.0}]"
