epoch,train_loss,validation_micro_fmax,validation_macro_fmax,validation_micro_aupr,validation_macro_aupr,validation_micro_auroc,validation_macro_auroc,validation_smin,validation_micro_fmax_threshold,validation_rare_term_micro_fmax_train_count_1_to_10,rare_term_count,brier_score,expected_calibration_error_10_bins,threshold_sensitivity
1,1.1631185362213536,0.0143065802776924,0.08636850551275138,0.005957951219335564,0.04024187068170686,0.5235891457241144,0.5118654966015023,55.56503833952886,0.7284248471260071,0.010577759924934068,832,0.26704275608062744,0.4939569401988839,"[{'threshold': 0.1, 'micro_f1': 0.010851913735829666}, {'threshold': 0.2, 'micro_f1': 0.010930203313202692}, {'threshold': 0.3, 'micro_f1': 0.011009515856637153}, {'threshold': 0.4, 'micro_f1': 0.011234579719378747}, {'threshold': 0.5, 'micro_f1': 0.011351613656923418}, {'threshold': 0.6, 'micro_f1': 0.011299779957008942}, {'threshold': 0.7, 'micro_f1': 0.013572514839827972}, {'threshold': 0.8, 'micro_f1': 0.0081560140509549}, {'threshold': 0.9, 'micro_f1': 0.0}]"
2,1.0219717866496036,0.022304599145107868,0.09593361591534041,0.007143779667568998,0.04473064026820099,0.5539735770555526,0.5329097566352287,55.56503833952886,0.7928303480148315,0.03534303534268293,832,0.268067866563797,0.49431211195705904,"[{'threshold': 0.1, 'micro_f1': 0.010852756092189457}, {'threshold': 0.2, 'micro_f1': 0.010888751109653545}, {'threshold': 0.3, 'micro_f1': 0.011038277415629853}, {'threshold': 0.4, 'micro_f1': 0.01147210318732714}, {'threshold': 0.5, 'micro_f1': 0.012391585616935248}, {'threshold': 0.6, 'micro_f1': 0.013516025188280163}, {'threshold': 0.7, 'micro_f1': 0.017025837320574163}, {'threshold': 0.8, 'micro_f1': 0.021074292201802312}, {'threshold': 0.9, 'micro_f1': 0.001447327612943244}]"
3,0.9444081011571382,0.03656894229723344,0.1092486294760216,0.009700782216735536,0.056625846146112116,0.5820965431465029,0.5509206915339433,55.455390351127825,0.8331862092018127,0.06946323861031743,832,0.2679252326488495,0.4934785748956143,"[{'threshold': 0.1, 'micro_f1': 0.01085346142134851}, {'threshold': 0.2, 'micro_f1': 0.010886747466840777}, {'threshold': 0.3, 'micro_f1': 0.011070959178287647}, {'threshold': 0.4, 'micro_f1': 0.011592877636754376}, {'threshold': 0.5, 'micro_f1': 0.013305949864089398}, {'threshold': 0.6, 'micro_f1': 0.016262157361153367}, {'threshold': 0.7, 'micro_f1': 0.020921921813522003}, {'threshold': 0.8, 'micro_f1': 0.0304635346475695}, {'threshold': 0.9, 'micro_f1': 0.008123637804636416}]"
4,0.890369206980655,0.051317614423945446,0.12144376634418222,0.015441828724836367,0.06584878645631317,0.6077332716308153,0.564084655422095,55.1552205089203,0.8237488269805908,0.1520467836252715,832,0.2675988972187042,0.49265418319457976,"[{'threshold': 0.1, 'micro_f1': 0.010853180584865842}, {'threshold': 0.2, 'micro_f1': 0.010891918560347017}, {'threshold': 0.3, 'micro_f1': 0.011104518987939915}, {'threshold': 0.4, 'micro_f1': 0.011779914603643589}, {'threshold': 0.5, 'micro_f1': 0.013831198063048266}, {'threshold': 0.6, 'micro_f1': 0.018016473883703393}, {'threshold': 0.7, 'micro_f1': 0.02754782896871699}, {'threshold': 0.8, 'micro_f1': 0.04716206652512385}, {'threshold': 0.9, 'micro_f1': 0.02846975088967971}]"
5,0.851956752099489,0.07419290154355271,0.13169172770537513,0.02665423877090508,0.07578683144081755,0.6299762316856352,0.5766157015067768,54.15128826362169,0.8303086757659912,0.19746835443010308,832,0.267424613237381,0.4920894284922422,"[{'threshold': 0.1, 'micro_f1': 0.010854761295758542}, {'threshold': 0.2, 'micro_f1': 0.010896917023498312}, {'threshold': 0.3, 'micro_f1': 0.01108289778322284}, {'threshold': 0.4, 'micro_f1': 0.011903858542184995}, {'threshold': 0.5, 'micro_f1': 0.014398531300915859}, {'threshold': 0.6, 'micro_f1': 0.019648834542435958}, {'threshold': 0.7, 'micro_f1': 0.03240313190122465}, {'threshold': 0.8, 'micro_f1': 0.06186098019521492}, {'threshold': 0.9, 'micro_f1': 0.052040003540136284}]"
6,0.8229447741257517,0.0943562610224277,0.13926936121238315,0.03767440521961531,0.08383403428668486,0.6480632152514471,0.5859580827431873,54.1394244790806,0.8631424903869629,0.25819265143946823,832,0.2674715518951416,0.4914113863441309,"[{'threshold': 0.1, 'micro_f1': 0.010857401194699402}, {'threshold': 0.2, 'micro_f1': 0.010912060798743245}, {'threshold': 0.3, 'micro_f1': 0.011201935024270639}, {'threshold': 0.4, 'micro_f1': 0.012089540343737852}, {'threshold': 0.5, 'micro_f1': 0.014903686584961093}, {'threshold': 0.6, 'micro_f1': 0.020611660227542645}, {'threshold': 0.7, 'micro_f1': 0.03504136471493619}, {'threshold': 0.8, 'micro_f1': 0.06914595402728461}, {'threshold': 0.9, 'micro_f1': 0.07592653328960314}]"
7,0.8016652295463964,0.11046269278819394,0.14921314235799932,0.053223349334503386,0.09308817000793461,0.6600160942531308,0.5974525913902127,52.09182376972145,0.8914724588394165,0.4489051094885716,832,0.26639965176582336,0.4902532499322452,"[{'threshold': 0.1, 'micro_f1': 0.010859551962197489}, {'threshold': 0.2, 'micro_f1': 0.010939038340581478}, {'threshold': 0.3, 'micro_f1': 0.01119617116952752}, {'threshold': 0.4, 'micro_f1': 0.012314366434415594}, {'threshold': 0.5, 'micro_f1': 0.015141948009254377}, {'threshold': 0.6, 'micro_f1': 0.021838998352099043}, {'threshold': 0.7, 'micro_f1': 0.0378557434522582}, {'threshold': 0.8, 'micro_f1': 0.08011980531636091}, {'threshold': 0.9, 'micro_f1': 0.10823776328611047}]"
8,0.7852038132516961,0.12319752250023393,0.15552289565245367,0.06028543261034613,0.09863957248133778,0.6824241461063684,0.6056564363886751,51.485161512531285,0.8737550973892212,0.4768472906399386,832,0.2677757740020752,0.4902525180869824,"[{'threshold': 0.1, 'micro_f1': 0.0108670176134135}, {'threshold': 0.2, 'micro_f1': 0.010985169713179373}, {'threshold': 0.3, 'micro_f1': 0.01132977508561294}, {'threshold': 0.4, 'micro_f1': 0.012596541025810284}, {'threshold': 0.5, 'micro_f1': 0.01577909759026142}, {'threshold': 0.6, 'micro_f1': 0.022675747807038522}, {'threshold': 0.7, 'micro_f1': 0.039265888208269525}, {'threshold': 0.8, 'micro_f1': 0.08098658457796526}, {'threshold': 0.9, 'micro_f1': 0.11996617006050353}]"
9,0.7696974766881842,0.14667651403205145,0.16197816344007912,0.07527080013752022,0.10600662693198738,0.6902727705617527,0.6165324337837687,51.215160614684166,0.9190446734428406,0.5073170731702726,832,0.2658001482486725,0.4882725840845425,"[{'threshold': 0.1, 'micro_f1': 0.010870161358854546}, {'threshold': 0.2, 'micro_f1': 0.010965279487810883}, {'threshold': 0.3, 'micro_f1': 0.011350625116125574}, {'threshold': 0.4, 'micro_f1': 0.01258475293461703}, {'threshold': 0.5, 'micro_f1': 0.01600345694768603}, {'threshold': 0.6, 'micro_f1': 0.023852306907853612}, {'threshold': 0.7, 'micro_f1': 0.04143661509867162}, {'threshold': 0.8, 'micro_f1': 0.08347548765111622}, {'threshold': 0.9, 'micro_f1': 0.14378843788437884}]"
10,0.7584976315498352,0.14502350837644756,0.16256663323966475,0.08181086798663367,0.10440541650717608,0.690320654138051,0.6196302223165593,50.26164337124259,0.9091602563858032,0.5672664952865693,832,0.2619507908821106,0.48468769072002055,"[{'threshold': 0.1, 'micro_f1': 0.010859973962100391}, {'threshold': 0.2, 'micro_f1': 0.010955277545190366}, {'threshold': 0.3, 'micro_f1': 0.011350911639823174}, {'threshold': 0.4, 'micro_f1': 0.012646920073472583}, {'threshold': 0.5, 'micro_f1': 0.016216139704321172}, {'threshold': 0.6, 'micro_f1': 0.02455219389780162}, {'threshold': 0.7, 'micro_f1': 0.043774930419279955}, {'threshold': 0.8, 'micro_f1': 0.08615987400606923}, {'threshold': 0.9, 'micro_f1': 0.14291764990621408}]"
