epoch=1 loss=1.252465 validation_macro_fmax=0.050955 validation_micro_fmax=0.010225
epoch=2 loss=1.216615 validation_macro_fmax=0.052184 validation_micro_fmax=0.009945
epoch=3 loss=1.184432 validation_macro_fmax=0.053705 validation_micro_fmax=0.009945
epoch=4 loss=1.151541 validation_macro_fmax=0.051232 validation_micro_fmax=0.009945
epoch=5 loss=1.116428 validation_macro_fmax=0.049946 validation_micro_fmax=0.011310
epoch=6 loss=1.091523 validation_macro_fmax=0.055219 validation_micro_fmax=0.009945
epoch=7 loss=1.085548 validation_macro_fmax=0.057710 validation_micro_fmax=0.010199
epoch=8 loss=1.083054 validation_macro_fmax=0.055805 validation_micro_fmax=0.009945
epoch=9 loss=1.098090 validation_macro_fmax=0.054643 validation_micro_fmax=0.009945
epoch=10 loss=1.084751 validation_macro_fmax=0.059940 validation_micro_fmax=0.010081
epoch=11 loss=1.107614 validation_macro_fmax=0.057423 validation_micro_fmax=0.012111
epoch=12 loss=1.099769 validation_macro_fmax=0.068312 validation_micro_fmax=0.012172
epoch=13 loss=1.106626 validation_macro_fmax=0.063825 validation_micro_fmax=0.011886
epoch=14 loss=1.098143 validation_macro_fmax=0.070653 validation_micro_fmax=0.013854
epoch=15 loss=1.080685 validation_macro_fmax=0.081064 validation_micro_fmax=0.011821
epoch=16 loss=1.101674 validation_macro_fmax=0.068580 validation_micro_fmax=0.018355
epoch=17 loss=1.097122 validation_macro_fmax=0.063861 validation_micro_fmax=0.015090
epoch=18 loss=1.093906 validation_macro_fmax=0.065478 validation_micro_fmax=0.009959
epoch=19 loss=1.067008 validation_macro_fmax=0.054473 validation_micro_fmax=0.009945
epoch=20 loss=1.088490 validation_macro_fmax=0.065400 validation_micro_fmax=0.009945
epoch=21 loss=1.080142 validation_macro_fmax=0.071470 validation_micro_fmax=0.017665
epoch=22 loss=1.106167 validation_macro_fmax=0.075550 validation_micro_fmax=0.015594
epoch=23 loss=1.092151 validation_macro_fmax=0.068136 validation_micro_fmax=0.015172
{"input_modality": "struct_only", "model": "Hybrid_JK", "ontology": "biological_process", "split_label": "nominal_30_identity_80_coverage", "test": {"Macro_AUPRC": 0.1922061825984318, "Macro_AUROC": 0.5010116618216311, "Macro_Fmax": 0.06956294131450974, "Micro_AUPRC": 0.10206410937124112, "Micro_AUROC": 0.5544791981172604, "Micro_Fmax": 0.021277302969089907, "Smin": 5140.879115006681}}
