CUDA verified: NVIDIA L40S; tensor dot product=8.0
GPU startup: NVIDIA L40S, 533, 46068, 0
Loaded train=6026, valid=754; reserved test set is not loaded
epoch=1 loss=0.921324 validation_micro_fmax=0.146852 valid_micro_fmax=0.146852
epoch=2 loss=0.492425 validation_micro_fmax=0.171351 valid_micro_fmax=0.171351
epoch=3 loss=0.229182 validation_micro_fmax=0.226857 valid_micro_fmax=0.226857
epoch=4 loss=0.132254 validation_micro_fmax=0.223163 valid_micro_fmax=0.223163
epoch=5 loss=0.084640 validation_micro_fmax=0.295201 valid_micro_fmax=0.295201
epoch=6 loss=0.060103 validation_micro_fmax=0.306498 valid_micro_fmax=0.306498
epoch=7 loss=0.046409 validation_micro_fmax=0.332252 valid_micro_fmax=0.332252
epoch=8 loss=0.036160 validation_micro_fmax=0.353730 valid_micro_fmax=0.353730
epoch=9 loss=0.031054 validation_micro_fmax=0.352897 valid_micro_fmax=0.352897
epoch=10 loss=0.025896 validation_micro_fmax=0.321441 valid_micro_fmax=0.321441
epoch=11 loss=0.023046 validation_micro_fmax=0.326640 valid_micro_fmax=0.326640
epoch=12 loss=0.020033 validation_micro_fmax=0.318213 valid_micro_fmax=0.318213
epoch=13 loss=0.016320 validation_micro_fmax=0.337332 valid_micro_fmax=0.337332
epoch=14 loss=0.014676 validation_micro_fmax=0.375560 valid_micro_fmax=0.375560
epoch=15 loss=0.015376 validation_micro_fmax=0.312021 valid_micro_fmax=0.312021
epoch=16 loss=0.019809 validation_micro_fmax=0.322449 valid_micro_fmax=0.322449
epoch=17 loss=0.014150 validation_micro_fmax=0.341019 valid_micro_fmax=0.341019
epoch=18 loss=0.010930 validation_micro_fmax=0.339658 valid_micro_fmax=0.339658
epoch=19 loss=0.008954 validation_micro_fmax=0.368925 valid_micro_fmax=0.368925
epoch=20 loss=0.009409 validation_micro_fmax=0.377286 valid_micro_fmax=0.377286
epoch=21 loss=0.011516 validation_micro_fmax=0.374038 valid_micro_fmax=0.374038
epoch=22 loss=0.010081 validation_micro_fmax=0.363819 valid_micro_fmax=0.363819
epoch=23 loss=0.009288 validation_micro_fmax=0.358322 valid_micro_fmax=0.358322
epoch=24 loss=0.007445 validation_micro_fmax=0.284134 valid_micro_fmax=0.284134
epoch=25 loss=0.011753 validation_micro_fmax=0.212480 valid_micro_fmax=0.212480
epoch=26 loss=0.010109 validation_micro_fmax=0.349738 valid_micro_fmax=0.349738
epoch=27 loss=0.008241 validation_micro_fmax=0.325830 valid_micro_fmax=0.325830
epoch=28 loss=0.007085 validation_micro_fmax=0.371712 valid_micro_fmax=0.371712
Early stopping after 28 epochs (patience=8)
GPU completion: NVIDIA L40S, 33641, 46068, 0
