CUDA verified: NVIDIA L40S; tensor dot product=8.0
GPU startup: NVIDIA L40S, 533, 46068, 5
Loaded train=6026, valid=754; reserved test set is not loaded
epoch=1 loss=1.180894 validation_micro_fmax=0.019061 valid_micro_fmax=0.019061
epoch=2 loss=1.005320 validation_micro_fmax=0.041702 valid_micro_fmax=0.041702
epoch=3 loss=0.889766 validation_micro_fmax=0.059634 valid_micro_fmax=0.059634
epoch=4 loss=0.790367 validation_micro_fmax=0.079686 valid_micro_fmax=0.079686
epoch=5 loss=0.687387 validation_micro_fmax=0.088276 valid_micro_fmax=0.088276
epoch=6 loss=0.589051 validation_micro_fmax=0.126963 valid_micro_fmax=0.126963
epoch=7 loss=0.483804 validation_micro_fmax=0.123080 valid_micro_fmax=0.123080
epoch=8 loss=0.407436 validation_micro_fmax=0.122408 valid_micro_fmax=0.122408
epoch=9 loss=0.345568 validation_micro_fmax=0.139890 valid_micro_fmax=0.139890
epoch=10 loss=0.291562 validation_micro_fmax=0.155655 valid_micro_fmax=0.155655
epoch=11 loss=0.254919 validation_micro_fmax=0.143322 valid_micro_fmax=0.143322
epoch=12 loss=0.219672 validation_micro_fmax=0.164536 valid_micro_fmax=0.164536
epoch=13 loss=0.206173 validation_micro_fmax=0.157005 valid_micro_fmax=0.157005
epoch=14 loss=0.177001 validation_micro_fmax=0.157797 valid_micro_fmax=0.157797
epoch=15 loss=0.169291 validation_micro_fmax=0.152896 valid_micro_fmax=0.152896
epoch=16 loss=0.159232 validation_micro_fmax=0.148160 valid_micro_fmax=0.148160
epoch=17 loss=0.145137 validation_micro_fmax=0.148417 valid_micro_fmax=0.148417
epoch=18 loss=0.141977 validation_micro_fmax=0.158529 valid_micro_fmax=0.158529
epoch=19 loss=0.133784 validation_micro_fmax=0.158691 valid_micro_fmax=0.158691
epoch=20 loss=0.125137 validation_micro_fmax=0.159497 valid_micro_fmax=0.159497
epoch=21 loss=0.114556 validation_micro_fmax=0.166949 valid_micro_fmax=0.166949
epoch=22 loss=0.122109 validation_micro_fmax=0.168936 valid_micro_fmax=0.168936
epoch=23 loss=0.108697 validation_micro_fmax=0.176394 valid_micro_fmax=0.176394
epoch=24 loss=0.104892 validation_micro_fmax=0.166740 valid_micro_fmax=0.166740
epoch=25 loss=0.101828 validation_micro_fmax=0.170371 valid_micro_fmax=0.170371
epoch=26 loss=0.101955 validation_micro_fmax=0.164588 valid_micro_fmax=0.164588
epoch=27 loss=0.092058 validation_micro_fmax=0.182557 valid_micro_fmax=0.182557
epoch=28 loss=0.089130 validation_micro_fmax=0.177066 valid_micro_fmax=0.177066
epoch=29 loss=0.089456 validation_micro_fmax=0.187154 valid_micro_fmax=0.187154
epoch=30 loss=0.087821 validation_micro_fmax=0.191867 valid_micro_fmax=0.191867
epoch=31 loss=0.086048 validation_micro_fmax=0.177814 valid_micro_fmax=0.177814
epoch=32 loss=0.080097 validation_micro_fmax=0.176020 valid_micro_fmax=0.176020
epoch=33 loss=0.083595 validation_micro_fmax=0.194549 valid_micro_fmax=0.194549
epoch=34 loss=0.070621 validation_micro_fmax=0.177795 valid_micro_fmax=0.177795
epoch=35 loss=0.074478 validation_micro_fmax=0.183757 valid_micro_fmax=0.183757
epoch=36 loss=0.064918 validation_micro_fmax=0.195642 valid_micro_fmax=0.195642
epoch=37 loss=0.064031 validation_micro_fmax=0.179562 valid_micro_fmax=0.179562
epoch=38 loss=0.062510 validation_micro_fmax=0.191351 valid_micro_fmax=0.191351
epoch=39 loss=0.067489 validation_micro_fmax=0.184996 valid_micro_fmax=0.184996
epoch=40 loss=0.071232 validation_micro_fmax=0.197181 valid_micro_fmax=0.197181
epoch=41 loss=0.062861 validation_micro_fmax=0.195639 valid_micro_fmax=0.195639
epoch=42 loss=0.060473 validation_micro_fmax=0.198121 valid_micro_fmax=0.198121
epoch=43 loss=0.063815 validation_micro_fmax=0.198344 valid_micro_fmax=0.198344
epoch=44 loss=0.060411 validation_micro_fmax=0.191562 valid_micro_fmax=0.191562
epoch=45 loss=0.059697 validation_micro_fmax=0.199985 valid_micro_fmax=0.199985
epoch=46 loss=0.058622 validation_micro_fmax=0.199329 valid_micro_fmax=0.199329
epoch=47 loss=0.063100 validation_micro_fmax=0.218247 valid_micro_fmax=0.218247
epoch=48 loss=0.062557 validation_micro_fmax=0.209067 valid_micro_fmax=0.209067
epoch=49 loss=0.061018 validation_micro_fmax=0.206226 valid_micro_fmax=0.206226
epoch=50 loss=0.060209 validation_micro_fmax=0.206612 valid_micro_fmax=0.206612
epoch=51 loss=0.049671 validation_micro_fmax=0.194023 valid_micro_fmax=0.194023
epoch=52 loss=0.054767 validation_micro_fmax=0.194189 valid_micro_fmax=0.194189
epoch=53 loss=0.064241 validation_micro_fmax=0.205832 valid_micro_fmax=0.205832
epoch=54 loss=0.050682 validation_micro_fmax=0.199193 valid_micro_fmax=0.199193
epoch=55 loss=0.047458 validation_micro_fmax=0.184117 valid_micro_fmax=0.184117
epoch=56 loss=0.048941 validation_micro_fmax=0.206541 valid_micro_fmax=0.206541
Early stopping after 56 epochs (patience=9)
GPU completion: NVIDIA L40S, 13401, 46068, 0
