CUDA verified: NVIDIA L40S; tensor dot product=8.0
GPU startup: NVIDIA L40S, 533, 46068, 5
Loaded train=6026, valid=754; reserved test set is not loaded
epoch=1 loss=0.296037 validation_micro_fmax=0.049650 valid_micro_fmax=0.049650
epoch=2 loss=0.171172 validation_micro_fmax=0.111096 valid_micro_fmax=0.111096
epoch=3 loss=0.104794 validation_micro_fmax=0.150552 valid_micro_fmax=0.150552
epoch=4 loss=0.075844 validation_micro_fmax=0.134010 valid_micro_fmax=0.134010
epoch=5 loss=0.058467 validation_micro_fmax=0.169868 valid_micro_fmax=0.169868
epoch=6 loss=0.046563 validation_micro_fmax=0.172856 valid_micro_fmax=0.172856
epoch=7 loss=0.038984 validation_micro_fmax=0.188801 valid_micro_fmax=0.188801
epoch=8 loss=0.041577 validation_micro_fmax=0.188150 valid_micro_fmax=0.188150
epoch=9 loss=0.033665 validation_micro_fmax=0.191966 valid_micro_fmax=0.191966
epoch=10 loss=0.039063 validation_micro_fmax=0.195625 valid_micro_fmax=0.195625
epoch=11 loss=0.026182 validation_micro_fmax=0.235046 valid_micro_fmax=0.235046
epoch=12 loss=0.035849 validation_micro_fmax=0.184003 valid_micro_fmax=0.184003
epoch=13 loss=0.028904 validation_micro_fmax=0.202134 valid_micro_fmax=0.202134
epoch=14 loss=0.022159 validation_micro_fmax=0.225376 valid_micro_fmax=0.225376
epoch=15 loss=0.022896 validation_micro_fmax=0.210613 valid_micro_fmax=0.210613
epoch=16 loss=0.022779 validation_micro_fmax=0.223281 valid_micro_fmax=0.223281
epoch=17 loss=0.019971 validation_micro_fmax=0.207114 valid_micro_fmax=0.207114
epoch=18 loss=0.030080 validation_micro_fmax=0.205994 valid_micro_fmax=0.205994
epoch=19 loss=0.024490 validation_micro_fmax=0.237111 valid_micro_fmax=0.237111
epoch=20 loss=0.020155 validation_micro_fmax=0.223547 valid_micro_fmax=0.223547
epoch=21 loss=0.015688 validation_micro_fmax=0.226386 valid_micro_fmax=0.226386
epoch=22 loss=0.018756 validation_micro_fmax=0.193874 valid_micro_fmax=0.193874
epoch=23 loss=0.024454 validation_micro_fmax=0.234315 valid_micro_fmax=0.234315
epoch=24 loss=0.019993 validation_micro_fmax=0.213186 valid_micro_fmax=0.213186
epoch=25 loss=0.015382 validation_micro_fmax=0.253196 valid_micro_fmax=0.253196
epoch=26 loss=0.015207 validation_micro_fmax=0.239491 valid_micro_fmax=0.239491
epoch=27 loss=0.018829 validation_micro_fmax=0.221573 valid_micro_fmax=0.221573
epoch=28 loss=0.015954 validation_micro_fmax=0.235657 valid_micro_fmax=0.235657
epoch=29 loss=0.018246 validation_micro_fmax=0.210654 valid_micro_fmax=0.210654
epoch=30 loss=0.021317 validation_micro_fmax=0.217305 valid_micro_fmax=0.217305
epoch=31 loss=0.017219 validation_micro_fmax=0.231362 valid_micro_fmax=0.231362
epoch=32 loss=0.020545 validation_micro_fmax=0.199584 valid_micro_fmax=0.199584
epoch=33 loss=0.015289 validation_micro_fmax=0.227456 valid_micro_fmax=0.227456
epoch=34 loss=0.011584 validation_micro_fmax=0.248026 valid_micro_fmax=0.248026
epoch=35 loss=0.013117 validation_micro_fmax=0.224817 valid_micro_fmax=0.224817
Early stopping after 35 epochs (patience=10)
GPU completion: NVIDIA L40S, 33683, 46068, 0
