trial,ontology,learning_rate,weight_decay,dropout,hidden_dim,batch_size,loss,patience,focal_gamma,validation_micro_fmax,validation_macro_fmax,validation_micro_aupr,validation_macro_aupr,validation_micro_auroc,validation_macro_auroc,validation_smin
trial_000,biological_process,0.0024041997179610245,2.722568603233787e-06,0.0,256,16,BCE,8,,0.20172612655565786,,,,,,
trial_000,cellular_component,0.0024041997179610245,2.722568603233787e-06,0.0,256,16,BCE,8,,0.44916854931250005,,,,,,
trial_000,molecular_function,0.0024041997179610245,2.722568603233787e-06,0.0,256,16,BCE,8,,0.26036604280789816,,,,,,
trial_001,biological_process,0.0010296572653618581,5.735912773350473e-07,0.0,512,32,BCE,10,,0.28084236995082545,,,,,,
trial_001,cellular_component,0.0010296572653618581,5.735912773350473e-07,0.0,512,32,BCE,10,,0.43949479433300426,,,,,,
trial_001,molecular_function,0.0010296572653618581,5.735912773350473e-07,0.0,512,32,BCE,10,,0.35756995933937447,,,,,,
trial_002,biological_process,1.1378904677969076e-05,7.378908099113235e-05,0.0,128,32,BCE,9,,0.1516092389241814,,,,,,
trial_002,cellular_component,1.1378904677969076e-05,7.378908099113235e-05,0.0,128,32,BCE,9,,0.41439252336398835,,,,,,
trial_002,molecular_function,1.1378904677969076e-05,7.378908099113235e-05,0.0,128,32,BCE,9,,0.2385521151325136,,,,,,
trial_003,biological_process,0.002823147511627795,0.00029423606866430316,0.4,512,64,BCE,10,,0.23253088529665228,,,,,,
trial_003,cellular_component,0.002823147511627795,0.00029423606866430316,0.4,512,64,BCE,10,,0.46330179635677193,,,,,,
trial_003,molecular_function,0.002823147511627795,0.00029423606866430316,0.4,512,64,BCE,10,,0.2607809847193645,,,,,,
trial_004,biological_process,7.674123976937732e-05,0.005313431835380474,0.0,256,32,Focal,9,2.0,0.30772103445021226,,,,,,
trial_004,cellular_component,7.674123976937732e-05,0.005313431835380474,0.0,256,32,Focal,9,2.0,0.4900227790427811,,,,,,
trial_004,molecular_function,7.674123976937732e-05,0.005313431835380474,0.0,256,32,Focal,9,2.0,0.43203163618339263,,,,,,
trial_005,biological_process,0.0001529140641918095,0.0014692529747935225,0.4,128,16,BCE,9,,0.23977681521132807,,,,,,
trial_005,cellular_component,0.0001529140641918095,0.0014692529747935225,0.4,128,16,BCE,9,,0.4824740513862623,,,,,,
trial_005,molecular_function,0.0001529140641918095,0.0014692529747935225,0.4,128,16,BCE,9,,0.3794124345246657,,,,,,
trial_006,biological_process,2.5508785977760178e-05,0.003288256072873935,0.0,128,64,BCE,8,,0.12396408839738106,,,,,,
trial_006,cellular_component,2.5508785977760178e-05,0.003288256072873935,0.0,128,64,BCE,8,,0.42539338035761237,,,,,,
trial_006,molecular_function,2.5508785977760178e-05,0.003288256072873935,0.0,128,64,BCE,8,,0.2700241855166855,,,,,,
trial_007,biological_process,5.5116825889001555e-05,0.0006581590522567125,0.2,128,32,Focal,9,1.0,0.30069269521365105,,,,,,
trial_007,cellular_component,5.5116825889001555e-05,0.0006581590522567125,0.2,128,32,Focal,9,1.0,0.4837676308864277,,,,,,
trial_007,molecular_function,5.5116825889001555e-05,0.0006581590522567125,0.2,128,32,Focal,9,1.0,0.34217608612023603,,,,,,
trial_008,biological_process,0.00021912071790854395,0.004353115992599645,0.2,128,32,Focal,8,2.0,0.2882691724760399,,,,,,
trial_008,cellular_component,0.00021912071790854395,0.004353115992599645,0.2,128,32,Focal,8,2.0,0.49009970509710116,,,,,,
trial_008,molecular_function,0.00021912071790854395,0.004353115992599645,0.2,128,32,Focal,8,2.0,0.3781082398824895,,,,,,
trial_009,biological_process,0.0017270869909095407,4.137739106923979e-05,0.1,128,32,Focal,9,1.0,0.25048058439029214,,,,,,
trial_009,cellular_component,0.0017270869909095407,4.137739106923979e-05,0.1,128,32,Focal,9,1.0,0.4602006113043346,,,,,,
trial_009,molecular_function,0.0017270869909095407,4.137739106923979e-05,0.1,128,32,Focal,9,1.0,0.29723272944405976,,,,,,
trial_010,biological_process,7.281839130793804e-05,0.003763327697269404,0.1,256,32,Focal,10,2.0,0.3223502678132248,,,,,,
trial_010,cellular_component,7.281839130793804e-05,0.003763327697269404,0.1,256,32,Focal,10,2.0,0.499062918339527,,,,,,
trial_010,molecular_function,7.281839130793804e-05,0.003763327697269404,0.1,256,32,Focal,10,2.0,0.41837005574679986,,,,,,
trial_011,biological_process,0.0003377348785134729,8.266805481657407e-06,0.4,512,16,BCE,8,,0.3047162270179369,,,,,,
trial_011,cellular_component,0.0003377348785134729,8.266805481657407e-06,0.4,512,16,BCE,8,,0.44417353287321854,,,,,,
trial_011,molecular_function,0.0003377348785134729,8.266805481657407e-06,0.4,512,16,BCE,8,,0.4043989002744402,,,,,,
trial_012,biological_process,2.0587903331906216e-05,0.00019302681376769982,0.4,128,64,Focal,8,1.0,0.11298493996758628,,,,,,
trial_012,cellular_component,2.0587903331906216e-05,0.00019302681376769982,0.4,128,64,Focal,8,1.0,0.4546959400587438,,,,,,
trial_012,molecular_function,2.0587903331906216e-05,0.00019302681376769982,0.4,128,64,Focal,8,1.0,0.03714312113043797,,,,,,
trial_013,biological_process,2.0306852485333567e-05,2.8063391884062294e-06,0.0,512,16,BCE,9,,0.34882058613250094,,,,,,
trial_013,cellular_component,2.0306852485333567e-05,2.8063391884062294e-06,0.0,512,16,BCE,9,,0.4886050358385015,,,,,,
trial_013,molecular_function,2.0306852485333567e-05,2.8063391884062294e-06,0.0,512,16,BCE,9,,0.38517520215585904,,,,,,
trial_014,biological_process,5.462490060476474e-05,1.0333998491320167e-07,0.2,512,32,Focal,10,1.0,0.3374079171047137,,,,,,
trial_014,cellular_component,5.462490060476474e-05,1.0333998491320167e-07,0.2,512,32,Focal,10,1.0,0.4704718958896988,,,,,,
trial_014,molecular_function,5.462490060476474e-05,1.0333998491320167e-07,0.2,512,32,Focal,10,1.0,0.40614990390726463,,,,,,
trial_015,biological_process,0.00045131410564700424,0.00043748328296366727,0.2,512,32,BCE,9,,0.30559322033856323,,,,,,
trial_015,cellular_component,0.00045131410564700424,0.00043748328296366727,0.2,512,32,BCE,9,,0.473257698540829,,,,,,
trial_015,molecular_function,0.00045131410564700424,0.00043748328296366727,0.2,512,32,BCE,9,,0.3804639804634863,,,,,,
trial_016,biological_process,0.0020990502637142747,0.0009508030792802778,0.0,512,16,Focal,10,1.0,0.19091729323258272,,,,,,
trial_016,cellular_component,0.0020990502637142747,0.0009508030792802778,0.0,512,16,Focal,10,1.0,0.46301737889296063,,,,,,
trial_016,molecular_function,0.0020990502637142747,0.0009508030792802778,0.0,512,16,Focal,10,1.0,0.3160586094989649,,,,,,
trial_017,biological_process,0.0026040317360329322,0.00021063082945376086,0.1,512,16,Focal,9,3.0,0.13956470630101303,,,,,,
trial_017,cellular_component,0.0026040317360329322,0.00021063082945376086,0.1,512,16,Focal,9,3.0,0.43708089599038574,,,,,,
trial_017,molecular_function,0.0026040317360329322,0.00021063082945376086,0.1,512,16,Focal,9,3.0,0.23929618768278654,,,,,,
trial_018,biological_process,4.5335193486380115e-05,4.60584445727266e-05,0.4,256,64,BCE,10,,0.29167041063848903,,,,,,
trial_018,cellular_component,4.5335193486380115e-05,4.60584445727266e-05,0.4,256,64,BCE,10,,0.4562551103838017,,,,,,
trial_018,molecular_function,4.5335193486380115e-05,4.60584445727266e-05,0.4,256,64,BCE,10,,0.38604898828493156,,,,,,
trial_019,biological_process,0.0004093933713250302,0.004459883829081874,0.0,256,32,BCE,8,,0.3431059958001473,,,,,,
trial_019,cellular_component,0.0004093933713250302,0.004459883829081874,0.0,256,32,BCE,8,,0.46025022165254714,,,,,,
trial_019,molecular_function,0.0004093933713250302,0.004459883829081874,0.0,256,32,BCE,8,,0.3947307064578836,,,,,,
trial_020,biological_process,1.2237669553639244e-05,6.0261989029387036e-06,0.1,256,32,BCE,8,,0.23838926174458105,,,,,,
trial_020,cellular_component,1.2237669553639244e-05,6.0261989029387036e-06,0.1,256,32,BCE,8,,0.41417878344611464,,,,,,
trial_020,molecular_function,1.2237669553639244e-05,6.0261989029387036e-06,0.1,256,32,BCE,8,,0.3775571240574053,,,,,,
trial_021,biological_process,1.961154488169495e-05,0.00046102390178830383,0.0,512,64,BCE,9,,0.28948044166696585,,,,,,
trial_021,cellular_component,1.961154488169495e-05,0.00046102390178830383,0.0,512,64,BCE,9,,0.45413173652645067,,,,,,
trial_021,molecular_function,1.961154488169495e-05,0.00046102390178830383,0.0,512,64,BCE,9,,0.382677379817041,,,,,,
trial_022,biological_process,1.0397814970120562e-05,0.0009814110547408097,0.4,512,16,Focal,9,3.0,0.27352117317471775,,,,,,
trial_022,cellular_component,1.0397814970120562e-05,0.0009814110547408097,0.4,512,16,Focal,9,3.0,0.4677515144311472,,,,,,
trial_022,molecular_function,1.0397814970120562e-05,0.0009814110547408097,0.4,512,16,Focal,9,3.0,0.4071314529000004,,,,,,
trial_023,biological_process,2.7983416755271612e-05,1.0483363548287232e-07,0.1,512,32,Focal,9,2.0,0.32836966533573503,,,,,,
