ontology,bin_type,bin,examples,positive_examples,positive_term_assignments,positive_terms,valid_auroc_terms,all_positive_terms,zero_positive_terms,support_status
molecular_function,homology,no_hit,612,396,2958,194,194,0,812,ok
molecular_function,homology,<30%,26,26,196,19,18,1,987,ok
molecular_function,homology,30-40%,80,77,1473,46,46,0,960,ok
molecular_function,homology,40-60%,5,5,14,3,1,2,1003,low_support
molecular_function,homology,>=60%,31,31,166,6,4,2,1000,ok
molecular_function,ic,no_positive_terms,219,0,0,0,0,0,1006,ok
molecular_function,ic,<2_bits,100,100,244,7,5,2,999,ok
molecular_function,ic,2-4_bits,41,41,143,8,7,1,998,ok
molecular_function,ic,4-6_bits,43,43,233,32,32,0,974,ok
molecular_function,ic,>=6_bits,351,351,4187,196,196,0,810,ok
biological_process,homology,no_hit,612,429,10510,629,629,0,1488,ok
biological_process,homology,<30%,26,17,378,44,44,0,2073,ok
biological_process,homology,30-40%,80,70,2244,130,130,0,1987,ok
biological_process,homology,40-60%,5,1,9,9,9,0,2108,low_support
biological_process,homology,>=60%,31,31,1031,63,61,2,2054,ok
biological_process,ic,no_positive_terms,206,0,0,0,0,0,2117,ok
biological_process,ic,<2_bits,0,0,0,0,0,0,2117,empty
biological_process,ic,2-4_bits,10,10,40,6,4,2,2111,ok
biological_process,ic,4-6_bits,16,16,136,32,32,0,2085,ok
biological_process,ic,>=6_bits,522,522,13996,671,671,0,1446,ok
cellular_component,homology,no_hit,612,425,6660,122,122,0,177,ok
cellular_component,homology,<30%,26,9,36,4,4,0,295,ok
cellular_component,homology,30-40%,80,53,820,38,38,0,261,ok
cellular_component,homology,40-60%,5,5,93,24,18,6,275,low_support
cellular_component,homology,>=60%,31,31,502,26,22,4,273,ok
cellular_component,ic,no_positive_terms,231,0,0,0,0,0,299,ok
cellular_component,ic,<2_bits,22,22,72,4,1,3,295,ok
cellular_component,ic,2-4_bits,71,71,627,27,26,1,272,ok
cellular_component,ic,4-6_bits,89,89,1036,33,32,1,266,ok
cellular_component,ic,>=6_bits,341,341,6376,119,118,1,180,ok
