evaluation_split,ontology,model,input_modality,bin_type,bin,metric,examples_audit,audit_status,seed_replicates,mean,sd,median,minimum,maximum
test,biological_process,GAT,full,homology,30-40%,Macro_AUPRC,80,ok,5,0.36060635129669805,0.11833915465733195,0.2966495536061553,0.2590939519074285,0.508623599216567
test,biological_process,GAT,full,homology,30-40%,Macro_AUROC,80,ok,5,0.5170420124299719,0.12530643153189974,0.5654133337321615,0.3772464966570948,0.6618504327026669
test,biological_process,GAT,full,homology,30-40%,Macro_Fmax,80,ok,5,0.45335415213537306,0.11393327049629197,0.41127468979792,0.3250877890018935,0.5995041244563646
test,biological_process,GAT,full,homology,30-40%,Micro_AUPRC,80,ok,5,0.041861728901708264,0.018948191043075647,0.0345602655097263,0.0248906595879475,0.0684207998893396
test,biological_process,GAT,full,homology,30-40%,Micro_AUROC,80,ok,5,0.782215863728971,0.04966788246637463,0.7778180001542976,0.7195466474898109,0.838558906390209
test,biological_process,GAT,full,homology,30-40%,Micro_Fmax,80,ok,5,0.09220983439929664,0.03474750510887917,0.0819992190403943,0.0591695501255086,0.143884892036335
test,biological_process,GAT,full,homology,30-40%,Smin,80,ok,5,124.60068854598367,0.041641191396445135,124.5814477533102,124.5814477533102,124.675153432834
test,biological_process,GAT,full,homology,40-60%,Macro_AUPRC,5,low support,5,0.9435185185185185,0.12629643206248808,1.0,0.7175925925925927,1.0
test,biological_process,GAT,full,homology,40-60%,Macro_AUROC,5,low support,5,0.961111111111111,0.0869581991249918,1.0,0.8055555555555556,1.0
test,biological_process,GAT,full,homology,40-60%,Macro_Fmax,5,low support,5,0.9644444443954001,0.07950463919785583,0.99999999995,0.822222222177,0.99999999995
test,biological_process,GAT,full,homology,40-60%,Micro_AUPRC,5,low support,5,0.0098332897702543,0.01270618616251158,0.0056797643520142,0.0020773379720849,0.0323205165170293
test,biological_process,GAT,full,homology,40-60%,Micro_AUROC,5,low support,5,0.8573323597419984,0.11661205727111813,0.927741268102714,0.7131353697618759,0.9552756480467324
test,biological_process,GAT,full,homology,40-60%,Micro_Fmax,5,low support,5,0.04854550725058372,0.07021293190335927,0.0196078431288206,0.0098135426871598,0.1739130434306238
