evaluation_split,ontology,model,input_modality,bin_type,bin,metric,examples_audit,audit_status,seed_replicates,mean,sd,median,minimum,maximum
test,biological_process,GAT,full,homology,30-40%,Smin,80,ok,5,124.60068854598367,0.041641191396445135,124.5814477533102,124.5814477533102,124.675153432834
test,biological_process,GAT,full,homology,40-60%,Smin,5,low support,5,9.63633691981723,0.46869070712870337,9.304397249221802,9.304397249221802,10.29596273430772
test,biological_process,GAT,full,homology,<30%,Smin,26,ok,5,71.60857390136562,0.06708730309440745,71.63857625539487,71.48856448524865,71.63857625539487
test,biological_process,GAT,full,homology,>=60%,Smin,31,ok,5,226.54688466300823,1.1917680201407452,225.98717311505348,225.98717311505348,228.6771235985715
test,biological_process,GAT,full,homology,no_hit,Smin,612,ok,5,93.59210323858835,0.056918266142589734,93.6029886687322,93.53145684666202,93.65186336186788
test,biological_process,GAT,full,ic,2-4_bits,Smin,10,ok,5,20.08496676716088,18.43169040498204,12.120758833379924,10.808560347557068,52.98782251392412
test,biological_process,GAT,full,ic,4-6_bits,Smin,16,ok,5,27.922704214369503,1.7713334751756318,29.06587691605091,25.03552023310156,29.06587691605091
test,biological_process,GAT,full,ic,>=6_bits,Smin,522,ok,5,144.79117233556164,0.07777246337245543,144.81799916728866,144.7053827776331,144.87676511994928
test,biological_process,GAT,full,ic,no_positive_terms,Smin,206,no positive terms,0,,,,,
test,biological_process,GAT,seq_only,homology,30-40%,Smin,80,ok,5,124.47212211604706,0.25067748372113424,124.5814477533102,124.02377816859592,124.5924891517088
test,biological_process,GAT,seq_only,homology,40-60%,Smin,5,low support,5,16.80503976095718,16.771946531165064,9.304397249221802,9.304397249221802,46.80760980789868
test,biological_process,GAT,seq_only,homology,<30%,Smin,26,ok,5,71.12284396805772,1.3181619498281971,71.63857625539487,68.77518148778583,71.92330958631818
test,biological_process,GAT,seq_only,homology,>=60%,Smin,31,ok,5,225.90936612506007,0.17398171874987156,225.98717311505348,225.5981381650865,225.98717311505348
test,biological_process,GAT,seq_only,homology,no_hit,Smin,612,ok,5,93.33931961111793,0.7283552202502322,93.60461692859872,92.05095349934452,93.77501921880736
test,biological_process,GAT,seq_only,ic,2-4_bits,Smin,10,ok,5,11.079417287458742,0.6056545297977194,10.808560347557068,10.808560347557068,12.16284504706544
test,biological_process,GAT,seq_only,ic,4-6_bits,Smin,16,ok,5,27.662937463820242,3.1370679835040955,29.06587691605091,22.051179654897563,29.06587691605091
test,biological_process,GAT,seq_only,ic,>=6_bits,Smin,522,ok,5,144.4562136022888,0.9377954840938763,144.8724499764518,142.78719888964096,144.96263959823858
test,biological_process,GAT,seq_only,ic,no_positive_terms,Smin,206,no positive terms,0,,,,,
test,biological_process,GAT,struct_only,homology,30-40%,Smin,80,ok,5,124.5814477533102,0.0,124.5814477533102,124.5814477533102,124.5814477533102
test,biological_process,GAT,struct_only,homology,40-60%,Smin,5,low support,5,9.304397249221802,0.0,9.304397249221802,9.304397249221802,9.304397249221802
test,biological_process,GAT,struct_only,homology,<30%,Smin,26,ok,5,71.63857625539487,0.0,71.63857625539487,71.63857625539487,71.63857625539487
test,biological_process,GAT,struct_only,homology,>=60%,Smin,31,ok,5,225.98717311505348,0.0,225.98717311505348,225.98717311505348,225.98717311505348
test,biological_process,GAT,struct_only,homology,no_hit,Smin,612,ok,5,93.65154805935286,0.0,93.65154805935286,93.65154805935286,93.65154805935286
test,biological_process,GAT,struct_only,ic,2-4_bits,Smin,10,ok,5,10.808560347557068,0.0,10.808560347557068,10.808560347557068,10.808560347557068
test,biological_process,GAT,struct_only,ic,4-6_bits,Smin,16,ok,5,29.06587691605091,0.0,29.06587691605091,29.06587691605091,29.06587691605091
test,biological_process,GAT,struct_only,ic,>=6_bits,Smin,522,ok,5,144.8713619423552,0.0,144.8713619423552,144.8713619423552,144.8713619423552
test,biological_process,GAT,struct_only,ic,no_positive_terms,Smin,206,no positive terms,0,,,,,
test,biological_process,GCN,full,homology,30-40%,Smin,80,ok,5,117.74922557265009,1.456984675646917,117.08884520992474,116.41685406247308,120.10923382102932
test,biological_process,GCN,full,homology,40-60%,Smin,5,low support,5,9.509020753865126,0.4575520661767167,9.304397249221802,9.304397249221802,10.327514772438423
test,biological_process,GCN,full,homology,<30%,Smin,26,ok,5,71.63892657838095,0.0007833460109545297,71.63857625539487,71.63857625539487,71.64032787032527
test,biological_process,GCN,full,homology,>=60%,Smin,31,ok,5,203.98912521706828,28.891829065802956,222.2596537950987,165.8297122925028,225.98730619374177
test,biological_process,GCN,full,homology,no_hit,Smin,612,ok,5,92.6268784480367,0.330113099168673,92.5636151613776,92.36045428521464,93.16904697486125
test,biological_process,GCN,full,ic,2-4_bits,Smin,10,ok,5,188.6409734252307,23.009628846745937,193.8041070583388,158.65791211202253,216.0587354718845
test,biological_process,GCN,full,ic,4-6_bits,Smin,16,ok,5,27.582626273928298,1.5339637050344184,27.1625337621709,25.88685156997497,29.28340015232316
test,biological_process,GCN,full,ic,>=6_bits,Smin,522,ok,5,142.0213843754972,0.3825392692144406,141.98868048148907,141.5069857338476,142.56931646151244
test,biological_process,GCN,full,ic,no_positive_terms,Smin,206,no positive terms,0,,,,,
test,biological_process,GCN,seq_only,homology,30-40%,Smin,80,ok,5,118.22962924662848,3.1060743025483775,118.65667604846588,113.97773600609672,122.59254376787844
test,biological_process,GCN,seq_only,homology,40-60%,Smin,5,low support,5,9.304397249221802,0.0,9.304397249221802,9.304397249221802,9.304397249221802
test,biological_process,GCN,seq_only,homology,<30%,Smin,26,ok,5,71.19713600683818,1.0028278559549486,71.63857625539487,69.40335431110547,71.66659695690082
test,biological_process,GCN,seq_only,homology,>=60%,Smin,31,ok,5,186.46782170521755,35.045821172369465,171.18512374712748,152.32168127038028,225.98717311505348
test,biological_process,GCN,seq_only,homology,no_hit,Smin,612,ok,5,92.93894788872288,0.4271033932667057,92.7345651189643,92.4788974383286,93.40961842276896
test,biological_process,GCN,seq_only,ic,2-4_bits,Smin,10,ok,5,191.71533499572334,33.565856470726324,180.8692490824754,151.53586283344114,235.8096047743668
test,biological_process,GCN,seq_only,ic,4-6_bits,Smin,16,ok,5,28.890335792653,1.9665527667974405,29.06587691605091,26.209920643870625,31.528634999202488
test,biological_process,GCN,seq_only,ic,>=6_bits,Smin,522,ok,5,142.25330620470817,0.17353832079279824,142.22288484333637,142.04112255085298,142.47478678693017
test,biological_process,GCN,seq_only,ic,no_positive_terms,Smin,206,no positive terms,0,,,,,
test,biological_process,GCN,struct_only,homology,30-40%,Smin,80,ok,5,124.04522992762813,0.9014958836421519,124.5814477533102,122.5012047240022,124.5814477533102
test,biological_process,GCN,struct_only,homology,40-60%,Smin,5,low support,5,9.304397249221802,0.0,9.304397249221802,9.304397249221802,9.304397249221802
test,biological_process,GCN,struct_only,homology,<30%,Smin,26,ok,5,70.88997983559148,1.515466867576799,71.63857625539487,68.18854397917995,71.63857625539487
test,biological_process,GCN,struct_only,homology,>=60%,Smin,31,ok,5,225.6651659929471,0.44092852312085956,225.98717311505348,225.1802253030613,225.98717311505348
test,biological_process,GCN,struct_only,homology,no_hit,Smin,612,ok,5,93.52841521879662,0.27533340174638393,93.65154805935286,93.03588385657169,93.65154805935286
test,biological_process,GCN,struct_only,ic,2-4_bits,Smin,10,ok,5,10.808560347557068,0.0,10.808560347557068,10.808560347557068,10.808560347557068
test,biological_process,GCN,struct_only,ic,4-6_bits,Smin,16,ok,5,28.994972112467973,0.15854796074271557,29.06587691605091,28.71135289813623,29.06587691605091
test,biological_process,GCN,struct_only,ic,>=6_bits,Smin,522,ok,5,144.36882382944736,0.7413395481488246,144.8713619423552,143.2249825970471,144.8713619423552
test,biological_process,GCN,struct_only,ic,no_positive_terms,Smin,206,no positive terms,0,,,,,
test,biological_process,Hybrid,full,homology,30-40%,Smin,80,ok,5,114.60253016000402,3.286665337359229,113.36343540914932,110.80534990969817,118.94418817416414
test,biological_process,Hybrid,full,homology,40-60%,Smin,5,low support,5,9.186846602958925,0.2628512358428263,9.304397249221802,8.716644017907413,9.304397249221802
