Model,Ontology,Total_Test,Coverage_Failures,Label_Mismatch,Covered_Mapped
TransFun,BP,1722,474,0,1248
DeepFRI_Seq,BP,1722,0,0,1722
DeepFRI_Cmap,BP,1722,1722,0,0
DPFunc,BP,1722,0,0,1722
BLAST,BP,1722,1722,0,0
DIAMOND,BP,1722,1722,0,0
Naive,BP,1722,1722,0,0
TransFun,MF,1722,474,0,1248
DeepFRI_Seq,MF,1722,0,0,1722
DeepFRI_Cmap,MF,1722,1722,0,0
DPFunc,MF,1722,0,0,1722
BLAST,MF,1722,1722,0,0
DIAMOND,MF,1722,1722,0,0
Naive,MF,1722,1722,0,0
TransFun,CC,1722,474,0,1248
DeepFRI_Seq,CC,1722,0,0,1722
DeepFRI_Cmap,CC,1722,1722,0,0
DPFunc,CC,1722,0,0,1722
BLAST,CC,1722,1722,0,0
DIAMOND,CC,1722,1722,0,0
Naive,CC,1722,1722,0,0
