Model,Ontology,N_seeds,Micro_Fmax_mean,Micro_Fmax_std,Micro_Fmax_se,Macro_Fmax_mean,Macro_Fmax_std,Macro_Fmax_se,Micro_AUROC_mean,Micro_AUROC_std,Micro_AUROC_se,Micro_AUPRC_mean,Micro_AUPRC_std,Micro_AUPRC_se,Smin_mean,Smin_std,Smin_se
TransFun,BP,5,0.23817816005535267,0.009498967616729508,0.004248067461415269,0.2627748101360348,0.004202874895616482,0.001879582793505157,0.704934631501138,0.013965123778441963,0.006245393216558988,0.1388726062003661,0.010416754082762898,0.004658514046791262,69.34983739700564,2.641720179599262,1.1814131798233805
DeepFRI,BP,5,0.15832773867157182,0.005565908549304699,0.002489149974558509,0.2421428345254034,0.007496212426478572,0.003352408111876946,0.67667161422093,0.004052518855864361,0.0018123415283624765,0.11807868731141173,0.007489978493679575,0.0033496202123758016,70.60398800744765,2.432720250625677,1.0879455701278677
DPFunc,BP,5,0.10211998956161734,0.003184179099579719,0.0014240081838388647,0.08018437123617449,0.003598815205236924,0.0016094390874739238,0.676858205291404,0.0028040650675560204,0.0012540160208775603,0.04753561926448397,0.0016235541764065677,0.000726075500719754,71.84552682256053,2.505375328361624,1.1204379086734895
Hybrid,BP,5,0.6702321064772827,0.004697120429153366,0.0021006161156179822,0.6619322430467289,0.00686339432965448,0.0030694032554988036,0.8400944221621426,0.009537513155321928,0.004265305550319668,0.6305425211660614,0.005278632661223733,0.0023606762917493767,35.71252768666367,0.4960201052037213,0.2218269346884236
Hybrid_JK,BP,5,0.6708721629240889,0.006520508247174551,0.0029160599377060594,0.6630131578300673,0.010029507725948033,0.004485332211215826,0.8793597849221044,0.008642450529036415,0.0038650213750208886,0.637803715727264,0.00895240879883523,0.004003638927312563,35.54851308394437,0.6012389250462462,0.26888222142446144
TransFun,MF,5,0.40993828665251797,0.006590598647380195,0.0029474053175920565,0.42950805778417733,0.004440484548806228,0.0019858450608336415,0.7225531486923512,0.00294892690364573,0.001318800203445965,0.34870691321253844,0.008657061822763875,0.003871555744223652,26.876663526330532,0.8005103642569704,0.3579991182343407
DeepFRI,MF,5,0.31060936219560475,0.010977980892450183,0.004909502306242483,0.37826372886301785,0.004527909907992467,0.002024942870053195,0.6580462700224121,0.0036920452895392608,0.001651132848683536,0.22868118033447624,0.007418416921006525,0.0033176169041610553,29.681998428875392,0.6735701434335037,0.30122972566631956
DPFunc,MF,5,0.1066730273344465,0.0016525014770507147,0.0007390211271208413,0.07974712739395082,0.003780605671357548,0.0016907382554553413,0.6209953623096298,0.0024599282625424484,0.0011001133629635728,0.055456974391493385,0.0010293089130431054,0.00046032093988216066,36.25003907349901,0.3572199700354854,0.15975362718395666
Hybrid,MF,5,0.8232630913947976,0.005607762062823053,0.0025078674348233583,0.8549756079834854,0.004831396475465192,0.002160666189078613,0.9509358463480609,0.008769770320137099,0.003921960516577329,0.8423478265457955,0.0018379305344966184,0.0008219475226113922,8.73620600409813,0.26844799552181464,0.12005359328206733
Hybrid_JK,MF,5,0.8144505201156729,0.009624360160452207,0.004304144711742383,0.8405357044199515,0.005910110561608785,0.0026430817940593402,0.9436266138366097,0.009004298426536994,0.004026844674286223,0.8277279683958467,0.007902499021777216,0.0035341050009638887,9.40815681873109,0.42281666735296414,0.18908936204422877
TransFun,CC,5,0.29414961508988713,0.009462774360262178,0.004231881345057663,0.35016097601239005,0.006148881429883958,0.0027498633725613272,0.7317423357366917,0.007363979526498779,0.0032932717612335965,0.18101735634925772,0.0073787431371661145,0.003299874248642697,14.4675565397294,0.1932029994800774,0.08640300805886192
DeepFRI,CC,5,0.23541677316322912,0.008897998960311482,0.0039793061077957855,0.23921763159327267,0.008912882044204234,0.00398596202525559,0.7665872868865344,0.00235238634365643,0.0010520191547515917,0.1587834772849471,0.013976242946031316,0.006250365859475589,14.856927748531362,0.5631105023937306,0.2518306724392879
DPFunc,CC,5,0.09103044300068386,0.0034199689154605613,0.0015294565951812092,0.07772043226096037,0.006015105183452178,0.0026900368164020825,0.6070105151933612,0.002181500539464511,0.0009755966998390218,0.03973353672131846,0.0015110465004678259,0.0006757605384418452,16.27069839699599,0.5065355845239079,0.2265296000036097
Hybrid,CC,5,0.6134554711970195,0.003848391184205438,0.0017210528583788548,0.6185622066367975,0.015452348467985296,0.006910500317285971,0.8827862512558324,0.013863855534508737,0.006200104681079643,0.6027038074599684,0.020299745270610587,0.009078322070203027,8.824718012841938,0.08932177068089633,0.03994591022262638
Hybrid_JK,CC,5,0.6037255059821115,0.011471017304174698,0.005129994892642201,0.6250642841600587,0.008991182720648184,0.004020979152298168,0.8750965574873948,0.01818117311434587,0.008130867798873785,0.5765725691318165,0.02146221852747967,0.009598195915079995,9.019062950970294,0.23864000839679309,0.10672305618526999
