Model,Ontology,N_seeds,Micro_Fmax_mean,Micro_Fmax_std,Micro_Fmax_se,Macro_Fmax_mean,Macro_Fmax_std,Macro_Fmax_se,Micro_AUROC_mean,Micro_AUROC_std,Micro_AUROC_se,Micro_AUPRC_mean,Micro_AUPRC_std,Micro_AUPRC_se,Smin_mean,Smin_std,Smin_se
TransFun,BP,5,0.28226153349806477,0.007127083544035162,0.003187328657156547,0.3196739527690241,0.0108118314955367,0.0048351980370586545,0.8506610547358155,0.004669484552383722,0.0020882569758030357,0.1816331321400519,0.006775831729482551,0.0030302440702445897,64.3003912719137,3.2564202024689384,1.4563153872048349
DeepFRI_Seq,BP,5,0.16398411777953736,0.010175839396658412,0.004550773723809731,0.284959794448401,0.020826873701722412,0.009314061071170799,0.6748011932460167,0.0025436306747889754,0.001137546219696362,0.12028340275475677,0.010028506739829008,0.004484884556614492,68.23896021450119,2.581194973966174,1.1543454849938328
DeepFRI_Cmap,BP,5,0.38055783198905785,0.010671236362630898,0.004772321982162057,0.41193415549770995,0.024991446966335328,0.011176514854561339,0.7482540597907997,0.0022629722360720662,0.0010120319502103683,0.3326615923504166,0.01468129936628282,0.006565676676206594,53.29293542614253,1.7250434360943643,0.7714628774493625
DPFunc,BP,5,0.09912921098970749,0.0047935633174270055,0.002143746686443237,0.08226166089827572,0.004096253390636627,0.0018319002069055,0.6691577553220798,0.005150780073871258,0.002303498876465504,0.04657546345219996,0.0027349552226180436,0.0012231091586384032,72.96657621794651,3.848672142390689,1.7211785066990661
Hybrid,BP,5,0.7803778899367402,0.004550551891590311,0.0020350686729472376,0.7871708929063254,0.008185081060246034,0.0036604795304112365,0.901252682325649,0.005879094699090818,0.002629211078665148,0.7601633685384818,0.004670600705211519,0.0020887561345222824,24.648017708998132,0.47086850505709554,0.21057879715427383
Hybrid_JK,BP,5,0.7827154794290692,0.00798166338579113,0.003569508380830019,0.7953369882788001,0.01282956074682181,0.005737553990271307,0.9411582483494906,0.009789982049537042,0.004378213072253508,0.7735542242630626,0.014793751100321611,0.006615966620506286,24.00544808219282,0.8244909798851031,0.36872357557170043
TransFun,MF,5,0.5004947993196086,0.008269514100758778,0.0036982391340379347,0.5356326017351405,0.004524299471731799,0.0020233282338717384,0.8783138845100534,0.0016079827003001263,0.0007191117249029507,0.4863950169273757,0.013033458398486382,0.005828739792186218,26.59388932448322,0.6579878412062096,0.29426110826108437
DeepFRI_Seq,MF,5,0.3317393695168378,0.015751038401169676,0.0070440785162449995,0.44150975882815346,0.011785078316502242,0.0052704472471715585,0.6346524590876573,0.005057735869549194,0.002261888243310201,0.27038933451578967,0.012662794235647376,0.005662973739200005,31.575081999101883,1.0548871334030812,0.4717598677758357
DeepFRI_Cmap,MF,5,0.6018700754941124,0.007026862528022779,0.0031425084562409908,0.6457740075117315,0.009924617602884617,0.004438423922148204,0.704750429604427,0.0033392551179460914,0.0014933602875883076,0.5276078682204393,0.004357415150677025,0.0019486952966202631,19.10461994856097,0.1592625812399685,0.07122439158493046
DPFunc,MF,5,0.11946211786982441,0.0045981567326974695,0.0020563582051019744,0.09173616522803171,0.0025459141813504883,0.0011385674348760838,0.6306829993687479,0.004327488509886493,0.0019353116959910939,0.0625299902664869,0.0029810853571197423,0.001333181901049796,38.89578113862776,1.1081929009467613,0.4955989317399298
