Model,Ontology,N_seeds,Micro_Fmax_mean,Micro_Fmax_std,Micro_Fmax_se,Macro_Fmax_mean,Macro_Fmax_std,Macro_Fmax_se,Micro_AUROC_mean,Micro_AUROC_std,Micro_AUROC_se,Micro_AUPRC_mean,Micro_AUPRC_std,Micro_AUPRC_se,Smin_mean,Smin_std,Smin_se
TransFun,BP,5,0.2412275442336135,0.0023420810500484096,0.0010474104873444661,0.2619155606247282,0.01874766558295693,0.008384210932584983,0.7038349291574411,0.011068767273224624,0.004950103210011049,0.13355598664030816,0.003616774294812874,0.0016174706364950901,61.42091324794266,2.1510915859744633,0.9619974024133465
DeepFRI_Seq,BP,5,0.16874017896379104,0.009105237484645349,0.004071985993389239,0.27457917246708174,0.018307721904116385,0.008187462138153224,0.6764862090433439,0.00236422968900126,0.0010573156598060007,0.1285451100060552,0.010714157382365006,0.004791516845719872,62.68508175877513,1.4117120871051112,0.6313368382850265
DeepFRI_Cmap,BP,5,0.03617657137086026,0.002050566638522441,0.0009170412792258833,0.039513628462424844,0.0026033925259312516,0.0011642725320194325,0.5,0.0,0.0,0.509211304958784,0.0005319502911773686,0.00023789540234468053,67.04200906004377,4.5256700790749615,2.0239411881096925
DPFunc,BP,5,0.08984946065492395,0.002604878382579084,0.001164937027313307,0.07517322541541892,0.0026856325775066756,0.0012010514011785798,0.6641479910477759,0.003606322767581537,0.0016127965714234983,0.04105362080675663,0.0010073653835245351,0.0004505074951482014,65.82042600521471,1.294170728468991,0.5787707446694171
Hybrid,BP,5,0.8018605115813682,0.004853792260102168,0.0021706818884501575,0.779576728161841,0.007485501469137322,0.0033476180261331192,0.9116483753090655,0.006232211471040828,0.0027871296998802507,0.7858039517218203,0.0041062334740884264,0.0018363634359093684,21.32545348656247,0.4749803501981719,0.2124176702039536
Hybrid_JK,BP,5,0.8045000500673469,0.007127284634229877,0.0031874185874255457,0.7862241522357966,0.011471684954171762,0.005130293474797923,0.9488701725056075,0.007517151799882478,0.003361772484344423,0.7990685331034186,0.012356277685871376,0.005525895370894438,20.726837986895696,0.7224079048951911,0.32307063656577006
TransFun,MF,5,0.42871637179338373,0.008001489167012878,0.0035783747397337925,0.44561590940548645,0.010445911383279846,0.004671553587990518,0.7278547837807571,0.006408131856997668,0.0028658036882057494,0.36632067961315956,0.012433711042491845,0.005560524620720308,27.718289415149236,0.6502323059831274,0.2907927274689432
DeepFRI_Seq,MF,5,0.3327225241662349,0.010753400922832775,0.004809067090552611,0.4303006325134698,0.00996719900380814,0.004457466903556638,0.637643742107119,0.0021359665293859452,0.0009552332714742551,0.23705065760178695,0.012217430115210363,0.005463800849592692,29.514383024333757,0.7402933190315677,0.3310692369287048
DeepFRI_Cmap,MF,5,0.04758563011746163,0.0010520406210470059,0.0004704868687504402,0.050685647386362984,0.0008687264870861487,0.0003885062957958443,0.5,0.0,0.0,0.5121865039613878,0.0002760271250008054,0.0001234430830271265,37.435081616499176,0.6822331116284011,0.3051039228204614
DPFunc,MF,5,0.11117119598161038,0.005042961011750978,0.0022552807260312604,0.08427361429555555,0.003471987422161199,0.0015527199785953401,0.6200418778349113,0.006712276422651756,0.0030018212729636872,0.05595429912732734,0.0028789115727572735,0.001287488395579219,37.04816050591115,0.4787054650923104,0.21408359222941173
Hybrid,MF,5,0.9075972897468549,0.004702571366647005,0.0021030538489733583,0.9297369975433181,0.0038015946932051354,0.001700124831381828,0.9778463179974238,0.004624045323271959,0.002067935934775218,0.929409400009234,0.004623044980443583,0.0020674885678622075,4.908721905108046,0.30767834262915517,0.13759793786465246
Hybrid_JK,MF,5,0.8998946530859475,0.005578820022773257,0.0024949241610315856,0.9191696924018004,0.004091864497200494,0.0018299374340916604,0.977586282609634,0.0064594263029084074,0.002888743261790669,0.9199297934385104,0.00563840930734258,0.0025215732992371026,5.455199881148475,0.3266726022409583,0.14609242899950656
TransFun,CC,5,0.2501228418530362,0.015127735511164678,0.006765328989720349,0.3236783327285385,0.015476085371644435,0.00692111578331741,0.7094708865814864,0.01930735892668114,0.008634513405209281,0.1373599678353367,0.016736102884901297,0.007484612745813928,11.905409492548225,0.5766914978346075,0.25790427824087103
DeepFRI_Seq,CC,5,0.2625915765779344,0.006171275697374509,0.0027598783934443647,0.27436090632129756,0.006849682897637246,0.003063271316686923,0.7707745365866149,0.008230888870934885,0.003680965406131379,0.16653468047785588,0.010209374028957368,0.004565770867293916,11.946418305921023,0.6232235595884242,0.27871404888382145
DeepFRI_Cmap,CC,5,0.038087863700444355,0.001929007679767022,0.0008626784602156413,0.043610707881019034,0.0018062952344027874,0.0008077997863117099,0.5,0.0,0.0,0.5097073148934268,0.0005013190743557257,0.00022419670573533486,13.50928619925295,0.7255141482466366,0.3244597908234679
DPFunc,CC,5,0.07058116082125898,0.005442039233761947,0.0024337539325825163,0.06267288821159346,0.003945060944171969,0.001764284889309605,0.5910468102755557,0.006693546870776701,0.0029934451627275406,0.02989892582078748,0.0020394960519050692,0.0009120903623804349,13.034979187573004,0.7997472016411318,0.3576578215369604
Hybrid,CC,5,0.7542077131000318,0.01090732892525756,0.0048779057859651255,0.7713071786297843,0.01566011290133102,0.007003415396539523,0.9281919594765053,0.008965216948238064,0.004009366905858705,0.7450269066168618,0.024773588568112386,0.011079085616982195,5.03207934805929,0.17638562612145292,0.07888205005228625
Hybrid_JK,CC,5,0.7363434573627086,0.0099579459796544,0.004453328825355595,0.7842950190324718,0.006154263296193957,0.0027522702163443216,0.9335562715739222,0.005829713007784738,0.002607126914944287,0.7216784396088405,0.017980220036527918,0.008040998850416035,5.274096277894153,0.19691232469164607,0.08806186872360618
