Model,Ontology,N_seeds,Micro_Fmax_mean,Micro_Fmax_std,Micro_Fmax_se,Macro_Fmax_mean,Macro_Fmax_std,Macro_Fmax_se,Micro_AUROC_mean,Micro_AUROC_std,Micro_AUROC_se,Micro_AUPRC_mean,Micro_AUPRC_std,Micro_AUPRC_se,Smin_mean,Smin_std,Smin_se
TransFun,BP,5,0.27719762902224926,0.004973748365222539,0.0022243278895232093,0.3046664293952414,0.008346569187198042,0.0037326992162959975,0.8400546867867732,0.002976307314339525,0.0013310450953586024,0.1859908723373775,0.008306100358833302,0.0037146010060573314,70.42114918406021,2.5315083511863405,1.1321249517722136
DeepFRI,BP,5,0.15003068379805917,0.004218550105912314,0.0018865929606617744,0.24415398436627794,0.008061483876015095,0.0036052051892576475,0.6690112627643734,0.00359399054767501,0.0016072814350186042,0.10726534921832578,0.005554714667964926,0.0024841439186369494,74.76403317313796,2.479634244842061,1.1089261461606412
DPFunc,BP,5,0.10861961304849017,0.0015662292292272773,0.0007004390049798584,0.08505594583682337,0.0007924464011293697,0.0003543928042900673,0.6791453187334897,0.002971947925808437,0.0013290955175394332,0.051626806359883856,0.0006908342871793187,0.0003089504854641136,76.74725060759326,1.9813779609809647,0.8860991619746725
Hybrid,BP,5,0.6447049983028387,0.005282749554562832,0.002362517422421845,0.6580392935785364,0.007681091259322683,0.0034350884394449967,0.8301213759649698,0.010339253295192417,0.004623854640927788,0.6049359170114149,0.005825940256482734,0.002605439689269591,39.70185945015117,0.5301892779462009,0.23710785328584702
Hybrid_JK,BP,5,0.6437429455775773,0.007736555409888983,0.0034598927616411026,0.6585680934381883,0.011819772036965234,0.005285962750641084,0.8683574645795215,0.009595069014082264,0.0042910453128579655,0.6092436274454434,0.010320951891799825,0.004615670004513892,39.66924422001568,0.6951433881601702,0.31087757400713256
TransFun,MF,5,0.4767337634064578,0.006848162141762651,0.0030625912139843675,0.505803174055554,0.008574455460658917,0.0038346130560155223,0.872688507041467,0.001858811813041342,0.0008312859142680141,0.46506146771232393,0.008922799000809258,0.00399039702307534,25.599387474780894,0.4468629319720762,0.1998431785028853
DeepFRI,MF,5,0.3017645070898541,0.01575936325504246,0.00704780150407746,0.3866264837556129,0.009742886791971233,0.0043571514327865055,0.6506750442176152,0.003555200057234801,0.0015899338003176316,0.24728689874181006,0.013123447808546152,0.005868984279815968,30.3072237953405,0.8030940312698914,0.35915456924876377
DPFunc,MF,5,0.10853466451244756,0.001809933708941139,0.0008094269615921411,0.08525254929590678,0.0016350076720327363,0.000731197659679776,0.6241356964156703,0.004420287118615927,0.0019768124954583776,0.057003775950196366,0.0013275774727087755,0.0005937106948748388,37.1982096835141,0.5329296261297187,0.23833337424991982
Hybrid,MF,5,0.8126346569644198,0.006028199207733209,0.002695892642080366,0.8574747169699404,0.00608316298078551,0.0027204731886493294,0.9475929144295769,0.008438512743865206,0.0037738176248561742,0.833320570690667,0.0019205559975519362,0.0008588987530242098,9.536244836499218,0.2953232562195534,0.13207257524870178
Hybrid_JK,MF,5,0.8023177881617967,0.009589802256283076,0.004288689947165964,0.8424122667681087,0.006534465062458502,0.0029223016152509235,0.9405102197710862,0.009603478037642157,0.004294805942518829,0.8172622609511919,0.010105579539849877,0.004519352560627073,10.343059881193376,0.42195156264497824,0.18870247545728644
TransFun,CC,5,0.32516850842707906,0.009530130094621765,0.0042620037451981535,0.3956023125890861,0.00961356436301451,0.0042993166843539815,0.864614441166626,0.0038650526071565827,0.0017285040732429818,0.2260686690381209,0.010406453023738627,0.004653907273147561,14.78138561647867,0.6657082939466717,0.2977137996900339
DeepFRI,CC,5,0.2336561633093172,0.007836965186201418,0.0035047973787291336,0.24618026334381343,0.009973476136991608,0.004460274122857048,0.7603487738615262,0.0017212066776138334,0.0007697470268942194,0.15855394761222136,0.006876827230069882,0.003075410631191568,15.448734498443212,0.6070423339933693,0.271477584805861
DPFunc,CC,5,0.09465931513766938,0.0029077950395002563,0.0013004054745918518,0.08141723353398936,0.004173439817191114,0.0018664190262487254,0.6072200414156554,0.005766182736673652,0.002578715313977611,0.042277272492893966,0.0016591305832969277,0.0007419857535601614,17.771771868440933,0.8511524832337644,0.3806469623456894
Hybrid,CC,5,0.6000247543174668,0.0036227383051212147,0.001620137822988682,0.6210083418410427,0.0133198800025273,0.0059568314275582224,0.8770391258738715,0.016078770583108137,0.007190644803690745,0.5878579791906662,0.021701553719160167,0.009705229866681103,9.544256522047778,0.09965732386784912,0.04456811012484458
Hybrid_JK,CC,5,0.5907943338423862,0.010788450060138061,0.004824741541266079,0.6263811723603088,0.010507845470586762,0.004699251353859053,0.8699826636522662,0.017834599922960402,0.007975875555850394,0.562955288077786,0.021888276889865894,0.009788735007215563,9.748420629950415,0.21925306833447064,0.09805295301425658
