Ontology,Model,LR,Dropout,BatchSize,Seed,Val_Micro_Fmax,Val_Macro_Fmax,Val_Smin,Status
biological_process,Hybrid,0.0001,0.2,16,42,0.7450458906475738,0.7327536787227912,25.59579319807761,Completed
biological_process,Hybrid,0.0001,0.2,32,42,0.7277734067172845,0.7280866165088877,27.496318594458657,Completed
biological_process,Hybrid,0.0001,0.3,16,42,0.740708215979869,0.7331220908420012,25.987655401239856,Completed
biological_process,Hybrid,0.0001,0.3,32,42,0.7231938758748451,0.727247586033065,28.339061657910587,Completed
biological_process,Hybrid,0.0001,0.4,16,42,0.7367621746999057,0.7361962250387283,26.798023932920856,Completed
biological_process,Hybrid,0.0001,0.4,32,42,0.7378409824976143,0.7352927916163182,26.438734909850464,Completed
biological_process,Hybrid,0.0005,0.2,16,42,0.7434213900506681,0.7313779524777284,25.965538865321456,Completed
biological_process,Hybrid,0.0005,0.2,32,42,0.7313574096639037,0.7248504853132596,26.792518871473295,Completed
biological_process,Hybrid,0.0001,0.2,64,42,0.74861012299796,0.7267995712608151,25.773952398759956,Completed
biological_process,Hybrid,0.0005,0.3,16,42,0.7276982168253682,0.7316537845122167,26.82114698494503,Completed
biological_process,Hybrid,0.0001,0.3,64,42,0.7123760463125776,0.7219485088774682,28.633785315128115,Completed
biological_process,Hybrid,0.0005,0.3,32,42,0.7459066720750485,0.7387902456759922,25.52849707070233,Completed
biological_process,Hybrid,0.0005,0.4,16,42,0.72752838241101,0.7335237329137975,27.462889040842022,Completed
biological_process,Hybrid,0.0001,0.4,64,42,0.7202642598410717,0.7282289117665384,28.686213911717537,Completed
biological_process,Hybrid,0.0005,0.4,32,42,0.7428907227590474,0.7339479612868077,25.705153950677953,Completed
biological_process,Hybrid,0.0005,0.2,64,42,0.7366898297148865,0.7233384915902925,26.304433781685542,Completed
molecular_function,Hybrid,0.0001,0.2,16,42,0.8566622864155166,0.8883060832692923,6.410993756653413,Completed
cellular_component,Hybrid,0.0001,0.2,16,42,0.6909252273743121,0.673053629301758,5.7177943844904995,Completed
biological_process,Hybrid,0.001,0.2,16,42,0.7276333535596429,0.7314409670051718,27.220154983967802,Completed
molecular_function,Hybrid,0.0001,0.2,32,42,0.8574231861107997,0.8909299462941518,6.685941908823307,Completed
cellular_component,Hybrid,0.0001,0.2,32,42,0.7064169344510169,0.6913080165032885,5.446885996496856,Completed
biological_process,Hybrid,0.001,0.2,32,42,0.744386170325827,0.7259677527304221,25.45986339393875,Completed
cellular_component,Hybrid,0.0001,0.3,16,42,0.6948181073319152,0.7096584592853542,5.672884673170798,Completed
molecular_function,Hybrid,0.0001,0.3,16,42,0.8581167013796293,0.8873386823610304,6.576800521635118,Completed
biological_process,Hybrid,0.001,0.3,16,42,0.1544965410723049,0.4811115777716316,65.37728400753956,Completed
molecular_function,Hybrid,0.0001,0.3,32,42,0.8506133251397121,0.8800662195099627,6.777431245001759,Completed
biological_process,Hybrid,0.001,0.3,32,42,0.7240130839224863,0.7266602970527721,27.339863485769918,Completed
cellular_component,Hybrid,0.0001,0.3,32,42,0.6854830119854218,0.6890808636491269,5.811646598506727,Completed
biological_process,Hybrid,0.001,0.4,16,42,0.7278100426088366,0.7226897762195325,27.60829115924619,Completed
cellular_component,Hybrid,0.0001,0.4,16,42,0.6881337046857187,0.6733528167105761,5.78226766828286,Completed
molecular_function,Hybrid,0.0001,0.4,16,42,0.850796863092005,0.8907950425943981,6.848082800703653,Completed
cellular_component,Hybrid,0.0001,0.4,32,42,0.7016175289170468,0.679041514528476,5.557340343537532,Completed
biological_process,Hybrid,0.001,0.4,32,42,0.7342535786827076,0.7274981657266618,26.280783148843742,Completed
molecular_function,Hybrid,0.0001,0.4,32,42,0.823390005102169,0.884121720681505,8.30320942670274,Completed
cellular_component,Hybrid,0.0005,0.2,16,42,0.6642797469377907,0.6390452894545993,6.197899271833052,Completed
