Ontology,Model,LR,Dropout,BatchSize,Seed,Val_Micro_Fmax,Val_Macro_Fmax,Val_Smin,Status
cellular_component,Hybrid_JK,0.0001,0.2,16,42,0.6976902173418076,0.6973737435101527,5.585717626001878,Completed
molecular_function,Hybrid_JK,0.0001,0.3,32,42,0.8470390415141007,0.887354331262073,7.180917632876661,Completed
cellular_component,Hybrid_JK,0.0005,0.2,32,42,0.6771636442112018,0.6656518901367585,5.891745353739434,Completed
biological_process,Hybrid_JK,0.0001,0.4,16,42,0.7356788211567488,0.737507893635413,26.62550381258217,Completed
biological_process,Hybrid_JK,0.001,0.4,16,42,0.7323337137621474,0.7342058849070748,27.32073849810209,Completed
biological_process,Hybrid_JK,0.0005,0.2,16,42,0.7404808584792499,0.7306103755683538,25.97538343629373,Completed
molecular_function,Hybrid_JK,0.001,0.2,32,42,0.8319745679653331,0.8892777903399719,7.255042892385526,Completed
cellular_component,Hybrid_JK,0.001,0.3,16,42,0.688137899701031,0.6966464378812502,5.827988837371924,Completed
cellular_component,Hybrid_JK,0.001,0.3,32,42,0.6675502539816363,0.6582735145410021,6.098283089897854,Completed
molecular_function,Hybrid_JK,0.0005,0.3,32,42,0.8669553831709365,0.9036271331519669,5.950717316047595,Completed
biological_process,Hybrid_JK,0.0005,0.3,16,42,0.7318667950237441,0.7435035923143604,26.5874526452516,Completed
biological_process,Hybrid_JK,0.0005,0.2,32,42,0.7166245825043362,0.7244309213302668,28.797305163689604,Completed
biological_process,Hybrid_JK,0.0001,0.2,16,42,0.7243074645313365,0.7370654542518196,27.623811552083435,Completed
biological_process,Hybrid_JK,0.0001,0.4,32,42,0.7514835412907818,0.737212915272663,25.584063133202186,Completed
molecular_function,Hybrid_JK,0.001,0.3,16,42,0.8419468137985249,0.8890409157226601,6.9378316240158,Completed
cellular_component,Hybrid_JK,0.0001,0.2,32,42,0.7032816772523082,0.7019781826880584,5.548431094625323,Completed
cellular_component,Hybrid_JK,0.001,0.4,16,42,0.6878994460514678,0.7052600573934582,5.722787808779901,Completed
cellular_component,Hybrid_JK,0.0005,0.2,16,42,0.7047661076289894,0.7086840108378379,5.430918942862862,Completed
molecular_function,Hybrid_JK,0.0005,0.4,32,42,0.8511675126404579,0.8999947759508031,6.688373604395795,Completed
biological_process,Hybrid_JK,0.0001,0.3,16,42,0.736465158178156,0.7378629274216866,26.451380978905075,Completed
molecular_function,Hybrid_JK,0.0005,0.3,16,42,0.8536889072865418,0.8852172863099198,6.532784617209391,Completed
biological_process,Hybrid_JK,0.001,0.4,32,42,0.745811293173363,0.7418777576509429,25.76209502695913,Completed
molecular_function,Hybrid_JK,0.0005,0.2,16,42,0.8640417209411465,0.9068767460429674,6.389455166602434,Completed
molecular_function,Hybrid_JK,0.001,0.4,16,42,0.8533470120045312,0.8864391426295454,6.461389714096258,Completed
biological_process,Hybrid_JK,0.001,0.3,32,42,0.7413480936862049,0.7421941772591716,25.77683226492558,Completed
molecular_function,Hybrid_JK,0.0001,0.2,32,42,0.8486308183177593,0.884402555164565,7.16786887908291,Completed
cellular_component,Hybrid_JK,0.0001,0.4,32,42,0.7034220531823158,0.7003301550531229,5.531572383143177,Completed
biological_process,Hybrid_JK,0.0005,0.4,16,42,0.7557641932230903,0.7317608775173328,24.93714156938593,Completed
biological_process,Hybrid_JK,0.0005,0.4,32,42,0.7466152884324143,0.7451910120985816,25.65044974367429,Completed
molecular_function,Hybrid_JK,0.001,0.3,32,42,0.8446120466492423,0.8925663388235904,6.870072213037632,Completed
cellular_component,Hybrid_JK,0.001,0.2,16,42,0.6891544733112497,0.6666368499340327,5.808366686292708,Completed
biological_process,Hybrid_JK,0.001,0.2,16,42,0.7583342041519656,0.7321327036335062,24.51820303793105,Completed
biological_process,Hybrid_JK,0.0001,0.3,32,42,0.7469592053243747,0.7348573626549499,25.50980022116198,Completed
cellular_component,Hybrid_JK,0.0001,0.3,32,42,0.7057777777280959,0.7011865996083868,5.394571540521243,Completed
biological_process,Hybrid_JK,0.001,0.2,32,42,0.721713832270589,0.725553328199054,27.618790162109413,Completed
molecular_function,Hybrid_JK,0.001,0.2,16,42,0.8484941925701719,0.8872627907659365,6.867666307238248,Completed
cellular_component,Hybrid_JK,0.0005,0.4,16,42,0.7063536218486284,0.6849893880835544,5.443504209917071,Completed
cellular_component,Hybrid_JK,0.0005,0.3,16,42,0.7059236712223127,0.6950967085938405,5.454494194633815,Completed
cellular_component,Hybrid_JK,0.0005,0.3,32,42,0.6854812037866561,0.6673140063090326,5.777484698410839,Completed
cellular_component,Hybrid_JK,0.001,0.4,32,42,0.6910306406188663,0.6406054144165447,5.772426304900603,Completed
biological_process,Hybrid_JK,0.001,0.3,16,42,0.7470759486711573,0.7334620082906795,25.46390486532417,Completed
biological_process,Hybrid_JK,0.0001,0.2,32,42,0.743453560527115,0.7291521125706389,26.16668261192344,Completed
molecular_function,Hybrid_JK,0.0001,0.4,32,42,0.854251423871999,0.9063927441404808,6.415134650625529,Completed
molecular_function,Hybrid_JK,0.0001,0.2,16,42,0.8524823415325051,0.8905545746887271,6.681478668519211,Completed
molecular_function,Hybrid_JK,0.0001,0.3,16,42,0.8510963015220723,0.8995680164188022,6.77189188552635,Completed
molecular_function,Hybrid_JK,0.0001,0.4,16,42,0.8520915065481747,0.894540901426911,6.663883720985697,Completed
biological_process,Hybrid_JK,0.0005,0.3,32,42,0.7520076771058752,0.7420943667201795,24.922170145014608,Completed
cellular_component,Hybrid_JK,0.0005,0.4,32,42,0.6954653397672939,0.6837868371336072,5.685036442596728,Completed
cellular_component,Hybrid_JK,0.0001,0.4,16,42,0.6956025128004051,0.684091916057599,5.681453136970641,Completed
molecular_function,Hybrid_JK,0.0005,0.2,32,42,0.8680213257724158,0.9020611048394858,6.175185047415674,Completed
cellular_component,Hybrid_JK,0.0001,0.3,16,42,0.6834873252295123,0.6985753735597023,5.873336892741897,Completed
molecular_function,Hybrid_JK,0.0005,0.4,16,42,0.8334989799157734,0.8778320281558867,7.610433355800539,Completed
cellular_component,Hybrid_JK,0.001,0.2,32,42,0.6954508623191097,0.656353865451286,5.581607300238938,Completed
molecular_function,Hybrid_JK,0.001,0.4,32,42,0.8367202506830733,0.8877862310556023,7.476580450692917,Completed
